SourceType,.File,VarName,RawValue,ExpandedOrEval,AbsolutePath,Exists,Collides,Notes
.env,.env,BASE_PATH,/net/projects2/promega/data-analysis,/net/projects2/promega/data-analysis,/net/projects2/promega/data-analysis,OK,,
.env,.env,OUTPUT_FOLDER,/net/projects2/promega/data-analysis/output,/net/projects2/promega/data-analysis/output,/net/projects2/promega/data-analysis/output,OK,,
.env,.env,PLOTS_FOLDER,${BASE_PATH}/plots,/net/projects2/promega/data-analysis/plots,/net/projects2/promega/data-analysis/plots,OK,,
.env,.env,LOGS_FOLDER,${BASE_PATH}/logs,/net/projects2/promega/data-analysis/logs,/net/projects2/promega/data-analysis/logs,OK,,
.env,.env,NPY_OUTPUTS,${BASE_PATH}/npy_outputs,/net/projects2/promega/data-analysis/npy_outputs,/net/projects2/promega/data-analysis/npy_outputs,OK,,
.env,.env,PREDICTIONS_DIR,${BASE_PATH}/predictions,/net/projects2/promega/data-analysis/predictions,/net/projects2/promega/data-analysis/predictions,OK,,
.env,.env,META_FILE,/net/projects2/promega/data-analysis/Sample-Tracing.xlsx,/net/projects2/promega/data-analysis/Sample-Tracing.xlsx,/net/projects2/promega/data-analysis/Sample-Tracing.xlsx,OK,,
.env,.env,SURVEY_RESULTS,${BASE_PATH}/results_surveys,/net/projects2/promega/data-analysis/results_surveys,/net/projects2/promega/data-analysis/results_surveys,OK,,
.env,.env,TARGET_WIDTH,512,512,/home/amandabrooke/2025-promega-mini-test/512,MISSING,,
.env,.env,TARGET_HEIGHT,384,384,/home/amandabrooke/2025-promega-mini-test/384,MISSING,,
.env,.env,ORIGINAL_MAPPING,${OUTPUT_FOLDER}/image_mapping.json,/net/projects2/promega/data-analysis/output/image_mapping.json,/net/projects2/promega/data-analysis/output/image_mapping.json,OK,,
.env,.env,PREPROCESSED_DIR,${OUTPUT_FOLDER}/processed_dataset_${TARGET_WIDTH}x${TARGET_HEIGHT},/net/projects2/promega/data-analysis/output/processed_dataset_512x384,/net/projects2/promega/data-analysis/output/processed_dataset_512x384,OK,,
.env,.env,PROCESSED_PARENT_DIR,${OUTPUT_FOLDER},/net/projects2/promega/data-analysis/output,/net/projects2/promega/data-analysis/output,OK,,
.env,.env,PROCESSED_DATA_DIR,${PREPROCESSED_DIR}/auto_processed,${OUTPUT_FOLDER}/processed_dataset_${TARGET_WIDTH}x${TARGET_HEIGHT}/auto_processed,/home/amandabrooke/2025-promega-mini-test/${OUTPUT_FOLDER}/processed_dataset_${TARGET_WIDTH}x${TARGET_HEIGHT}/auto_processed,MISSING,,
.env,.env,MANUAL_MASKS_DIR,${BASE_PATH}/manual_masks,/net/projects2/promega/data-analysis/manual_masks,/net/projects2/promega/data-analysis/manual_masks,OK,,
.env,.env,MANUAL_MAPPING_DIR,${PREPROCESSED_DIR}/manual_mappings,${OUTPUT_FOLDER}/processed_dataset_${TARGET_WIDTH}x${TARGET_HEIGHT}/manual_mappings,/home/amandabrooke/2025-promega-mini-test/${OUTPUT_FOLDER}/processed_dataset_${TARGET_WIDTH}x${TARGET_HEIGHT}/manual_mappings,MISSING,,
.env,.env,MANUAL_PROCESSED_DIR,${MANUAL_MAPPING_DIR}/processed_${TARGET_WIDTH}x${TARGET_HEIGHT},${PREPROCESSED_DIR}/manual_mappings/processed_512x384,/home/amandabrooke/2025-promega-mini-test/${PREPROCESSED_DIR}/manual_mappings/processed_512x384,MISSING,,
.env,.env,MANUAL_SPLITS_DIR,${MANUAL_PROCESSED_DIR}/split,${MANUAL_MAPPING_DIR}/processed_${TARGET_WIDTH}x${TARGET_HEIGHT}/split,/home/amandabrooke/2025-promega-mini-test/${MANUAL_MAPPING_DIR}/processed_${TARGET_WIDTH}x${TARGET_HEIGHT}/split,MISSING,,
.env,.env,MAPPING_PROCESSED_TOTAL,${MANUAL_PROCESSED_DIR}/mapping_processed_total_${TARGET_WIDTH}x${TARGET_HEIGHT}.json,${MANUAL_MAPPING_DIR}/processed_${TARGET_WIDTH}x${TARGET_HEIGHT}/mapping_processed_total_512x384.json,/home/amandabrooke/2025-promega-mini-test/${MANUAL_MAPPING_DIR}/processed_${TARGET_WIDTH}x${TARGET_HEIGHT}/mapping_processed_total_512x384.json,MISSING,,
.env,.env,CONFIG_FILE_PATH,${PLOTS_FOLDER}/segformer_masks/20250422_215204/vis_data/config.py,${BASE_PATH}/plots/segformer_masks/20250422_215204/vis_data/config.py,/home/amandabrooke/2025-promega-mini-test/${BASE_PATH}/plots/segformer_masks/20250422_215204/vis_data/config.py,MISSING,,
.env,.env,CHECKPOINT_FILE_PATH,${PLOTS_FOLDER}/segformer_masks/iter_1000.pth,${BASE_PATH}/plots/segformer_masks/iter_1000.pth,/home/amandabrooke/2025-promega-mini-test/${BASE_PATH}/plots/segformer_masks/iter_1000.pth,MISSING,,
paths.py,paths.py,BASE_PATH,"require_env_path(""BASE_PATH"")","require_env_path(""BASE_PATH"")","/home/amandabrooke/2025-promega-mini-test/require_env_path(""BASE_PATH"")",MISSING,YES,unevaluated
paths.py,paths.py,LOGS_FOLDER,"require_env_path(""LOGS_FOLDER"")","require_env_path(""LOGS_FOLDER"")","/home/amandabrooke/2025-promega-mini-test/require_env_path(""LOGS_FOLDER"")",MISSING,,unevaluated
paths.py,paths.py,MANUAL_MAPPING_DIR,"require_env_path(""MANUAL_MAPPING_DIR"")","require_env_path(""MANUAL_MAPPING_DIR"")","/home/amandabrooke/2025-promega-mini-test/require_env_path(""MANUAL_MAPPING_DIR"")",MISSING,,unevaluated
paths.py,paths.py,MANUAL_MASKS_DIR,"require_env_path(""MANUAL_MASKS_DIR"")","require_env_path(""MANUAL_MASKS_DIR"")","/home/amandabrooke/2025-promega-mini-test/require_env_path(""MANUAL_MASKS_DIR"")",MISSING,YES,unevaluated
paths.py,paths.py,MANUAL_MASK_FOLDERS,"[
    MANUAL_MASKS_DIR / ""Manuais"",
    MANUAL_MASKS_DIR / ""Treshold""
]","[
    MANUAL_MASKS_DIR / ""Manuais"",
    MANUAL_MASKS_DIR / ""Treshold""
]","/home/amandabrooke/2025-promega-mini-test/[
    MANUAL_MASKS_DIR / ""Manuais"",
    MANUAL_MASKS_DIR / ""Treshold""
]",MISSING,YES,unevaluated
paths.py,paths.py,MANUAL_PROCESSED_DIR,"require_env_path(""MANUAL_PROCESSED_DIR"")","require_env_path(""MANUAL_PROCESSED_DIR"")","/home/amandabrooke/2025-promega-mini-test/require_env_path(""MANUAL_PROCESSED_DIR"")",MISSING,,unevaluated
paths.py,paths.py,MANUAL_SPLITS_DIR,"MANUAL_PROCESSED_DIR / ""split""","MANUAL_PROCESSED_DIR / ""split""","/home/amandabrooke/2025-promega-mini-test/MANUAL_PROCESSED_DIR / ""split""",MISSING,,unevaluated
paths.py,paths.py,MAPPING_PROCESSED_TOTAL,"require_env_path(""MAPPING_PROCESSED_TOTAL"")","require_env_path(""MAPPING_PROCESSED_TOTAL"")","/home/amandabrooke/2025-promega-mini-test/require_env_path(""MAPPING_PROCESSED_TOTAL"")",MISSING,YES,unevaluated
paths.py,paths.py,META_FILE,"require_env_path(""META_FILE"")","require_env_path(""META_FILE"")","/home/amandabrooke/2025-promega-mini-test/require_env_path(""META_FILE"")",MISSING,YES,unevaluated
paths.py,paths.py,NPY_OUTPUTS,"require_env_path(""NPY_OUTPUTS"")","require_env_path(""NPY_OUTPUTS"")","/home/amandabrooke/2025-promega-mini-test/require_env_path(""NPY_OUTPUTS"")",MISSING,,unevaluated
paths.py,paths.py,ORIGINAL_MAPPING,"require_env_path(""ORIGINAL_MAPPING"")","require_env_path(""ORIGINAL_MAPPING"")","/home/amandabrooke/2025-promega-mini-test/require_env_path(""ORIGINAL_MAPPING"")",MISSING,,unevaluated
