metric,algo,mean_over_days,day_no,value
accuracy,overlay/vit,0.7454022988505747,3,0.7758620689655172
accuracy,overlay/vit,0.7454022988505747,6,0.6724137931034483
accuracy,overlay/vit,0.7454022988505747,8,0.6551724137931034
accuracy,overlay/vit,0.7454022988505747,10,0.6724137931034483
accuracy,overlay/vit,0.7454022988505747,13,0.7586206896551724
accuracy,overlay/vit,0.7454022988505747,15,0.6551724137931034
accuracy,overlay/vit,0.7454022988505747,17,0.7241379310344828
accuracy,overlay/vit,0.7454022988505747,20,0.7931034482758621
accuracy,overlay/vit,0.7454022988505747,24,0.7758620689655172
accuracy,overlay/vit,0.7454022988505747,28,0.8833333333333333
accuracy,overlay/vit,0.7454022988505747,30,0.8333333333333334
accuracy,rgb+mask/cnn,0.7423719958202718,3,0.6551724137931034
accuracy,rgb+mask/cnn,0.7423719958202718,6,0.8103448275862069
accuracy,rgb+mask/cnn,0.7423719958202718,8,0.7413793103448276
accuracy,rgb+mask/cnn,0.7423719958202718,10,0.7068965517241379
accuracy,rgb+mask/cnn,0.7423719958202718,13,0.603448275862069
accuracy,rgb+mask/cnn,0.7423719958202718,15,0.603448275862069
accuracy,rgb+mask/cnn,0.7423719958202718,17,0.7068965517241379
accuracy,rgb+mask/cnn,0.7423719958202718,20,0.8448275862068966
accuracy,rgb+mask/cnn,0.7423719958202718,24,0.8103448275862069
accuracy,rgb+mask/cnn,0.7423719958202718,28,0.8500000000000001
accuracy,rgb+mask/cnn,0.7423719958202718,30,0.8333333333333334
accuracy,overlay/cnn,0.7393416927899686,3,0.6379310344827587
accuracy,overlay/cnn,0.7393416927899686,6,0.7586206896551724
accuracy,overlay/cnn,0.7393416927899686,8,0.6896551724137931
accuracy,overlay/cnn,0.7393416927899686,10,0.6724137931034483
accuracy,overlay/cnn,0.7393416927899686,13,0.6896551724137931
accuracy,overlay/cnn,0.7393416927899686,15,0.6896551724137931
accuracy,overlay/cnn,0.7393416927899686,17,0.7241379310344828
accuracy,overlay/cnn,0.7393416927899686,20,0.8793103448275862
accuracy,overlay/cnn,0.7393416927899686,24,0.7413793103448276
accuracy,overlay/cnn,0.7393416927899686,28,0.8
accuracy,overlay/cnn,0.7393416927899686,30,0.8500000000000001
