image_id,reason
BA3 96_1 Dy03 A1,512x384_missing_img_or_mask
BA3 96_1 Dy03 A1,256x192_missing_img_or_mask
BA3 96_1 Dy03 A1,no_valid_variant_img_or_mask
BA3 96_1 Dy03 A10,512x384_missing_img_or_mask
BA3 96_1 Dy03 A10,256x192_missing_img_or_mask
BA3 96_1 Dy03 A10,no_valid_variant_img_or_mask
BA3 96_1 Dy03 A11,512x384_missing_img_or_mask
BA3 96_1 Dy03 A11,256x192_missing_img_or_mask
BA3 96_1 Dy03 A11,no_valid_variant_img_or_mask
BA3 96_1 Dy03 A12,512x384_missing_img_or_mask
BA3 96_1 Dy03 A12,256x192_missing_img_or_mask
BA3 96_1 Dy03 A12,no_valid_variant_img_or_mask
BA3 96_1 Dy03 A2,512x384_missing_img_or_mask
BA3 96_1 Dy03 A2,256x192_missing_img_or_mask
BA3 96_1 Dy03 A2,no_valid_variant_img_or_mask
BA3 96_1 Dy03 A3,512x384_missing_img_or_mask
BA3 96_1 Dy03 A3,256x192_missing_img_or_mask
BA3 96_1 Dy03 A3,no_valid_variant_img_or_mask
BA3 96_1 Dy03 A4,512x384_missing_img_or_mask
BA3 96_1 Dy03 A4,256x192_missing_img_or_mask
BA3 96_1 Dy03 A4,no_valid_variant_img_or_mask
BA3 96_1 Dy03 A5,512x384_missing_img_or_mask
BA3 96_1 Dy03 A5,256x192_missing_img_or_mask
BA3 96_1 Dy03 A5,no_valid_variant_img_or_mask
BA3 96_1 Dy03 A6,512x384_missing_img_or_mask
BA3 96_1 Dy03 A6,256x192_missing_img_or_mask
BA3 96_1 Dy03 A6,no_valid_variant_img_or_mask
BA3 96_1 Dy03 A7,512x384_missing_img_or_mask
BA3 96_1 Dy03 A7,256x192_missing_img_or_mask
BA3 96_1 Dy03 A7,no_valid_variant_img_or_mask
BA3 96_1 Dy03 A8,512x384_missing_img_or_mask
BA3 96_1 Dy03 A8,256x192_missing_img_or_mask
BA3 96_1 Dy03 A8,no_valid_variant_img_or_mask
BA3 96_1 Dy03 A9,512x384_missing_img_or_mask
BA3 96_1 Dy03 A9,256x192_missing_img_or_mask
BA3 96_1 Dy03 A9,no_valid_variant_img_or_mask
BA3 96_1 Dy03 B1,512x384_missing_img_or_mask
BA3 96_1 Dy03 B1,256x192_missing_img_or_mask
BA3 96_1 Dy03 B1,no_valid_variant_img_or_mask
BA3 96_1 Dy03 B10,512x384_missing_img_or_mask
BA3 96_1 Dy03 B10,256x192_missing_img_or_mask
BA3 96_1 Dy03 B10,no_valid_variant_img_or_mask
BA2 96_2 Dy30 D12 split_2,512x384_missing_img_or_mask
BA2 96_2 Dy30 D12 split_2,256x192_missing_img_or_mask
BA2 96_2 Dy30 D12 split_2,no_valid_variant_img_or_mask
