Day_No,Model_Variant,Family,Test_F1_Acceptable,Test_ROC_AUC,Test_Specificity,Test_Recall_Acceptable,Test_Accuracy
3.0,lgbm_per_day_noscale,per_day,0.9253731343283582,0.467741935483871,0.1666666666666666,1.0,0.8648648648648649
6.0,lgbm_per_day_noscale_classweight,per_day,0.9117647058823528,0.7096774193548387,0.0,1.0,0.8378378378378378
8.0,lgbm_per_day_noscale,per_day,0.8787878787878788,0.4408602150537635,0.0,0.935483870967742,0.7837837837837838
10.0,lgbm_per_day_noscale_classweight,per_day,0.8787878787878788,0.5967741935483871,0.0,0.935483870967742,0.7837837837837838
13.0,lgbm_per_day_noscale_classweight,per_day,0.9117647058823528,0.6290322580645161,0.0,1.0,0.8378378378378378
15.0,lgbm_per_day_noscale,per_day,0.9117647058823528,0.8494623655913978,0.0,1.0,0.8378378378378378
17.0,lgbm_per_day_noscale_classweight,per_day,0.9117647058823528,0.6989247311827956,0.0,1.0,0.8378378378378378
20.0,lgbm_per_day_noscale_classweight,per_day,0.9302325581395348,0.76,0.4,1.0,0.88
24.0,lgbm_per_day_noscale,per_day,0.9428571428571428,0.9052287581699348,0.6666666666666666,0.9705882352941176,0.9069767441860463
28.0,lgbm_per_day_noscale_classweight,per_day,0.9577464788732394,0.9841269841269842,0.7777777777777778,0.9714285714285714,0.9318181818181818
30.0,lgbm_per_day_noscale_classweight,per_day,0.9859154929577464,0.9873015873015872,0.8888888888888888,1.0,0.9772727272727272
