Day,Day_No,Test_Accuracy,Test_F1_Acceptable,Test_F1_NotAcceptable,Test_Recall_Acceptable,Test_Recall_NotAcceptable,Test_Precision_Acceptable,Test_Precision_NotAcceptable,Test_Specificity,Test_ROC_AUC,TP,FP,TN,FN,Threshold_Used,BestParam_colsample_bytree,BestParam_learning_rate,BestParam_max_depth,BestParam_min_child_samples,BestParam_n_estimators,BestParam_num_leaves,BestParam_subsample,Model_Variant
Dy03,3,0.8108108108108109,0.8923076923076924,0.2222222222222222,0.935483870967742,0.1666666666666666,0.8529411764705882,0.3333333333333333,0.1666666666666666,0.467741935483871,29,5,1,2,0.7000000000000001,0.8,0.1,3,20,200,31,0.8,lgbm_per_day_noscale_cv_f1_weighted_thresh_f1_notaccept
Dy06,6,0.8108108108108109,0.8955223880597015,0.0,0.967741935483871,0.0,0.8333333333333334,0.0,0.0,0.6881720430107526,30,6,0,1,0.55,0.8,0.05,3,20,200,31,0.8,lgbm_per_day_noscale_cv_f1_weighted_thresh_f1_notaccept
Dy08,8,0.7837837837837838,0.8787878787878788,0.0,0.935483870967742,0.0,0.8285714285714286,0.0,0.0,0.4408602150537635,29,6,0,2,0.35,0.8,0.1,3,10,200,31,0.8,lgbm_per_day_noscale_cv_f1_weighted_thresh_f1_notaccept
Dy10,10,0.7297297297297297,0.84375,0.0,0.8709677419354839,0.0,0.8181818181818182,0.0,0.0,0.6236559139784946,27,6,0,4,0.6,0.8,0.1,6,20,500,31,0.8,lgbm_per_day_noscale_cv_f1_weighted_thresh_f1_notaccept
Dy13,13,0.8108108108108109,0.8955223880597015,0.0,0.967741935483871,0.0,0.8333333333333334,0.0,0.0,0.6236559139784946,30,6,0,1,0.4,0.8,0.05,6,10,200,31,0.8,lgbm_per_day_noscale_cv_f1_weighted_thresh_f1_notaccept
Dy15,15,0.8378378378378378,0.896551724137931,0.625,0.8387096774193549,0.8333333333333334,0.9629629629629628,0.5,0.8333333333333334,0.8494623655913978,26,1,5,5,0.9,0.8,0.05,6,20,200,31,0.8,lgbm_per_day_noscale_cv_f1_weighted_thresh_f1_notaccept
Dy17,17,0.8378378378378378,0.9117647058823528,0.0,1.0,0.0,0.8378378378378378,0.0,0.0,0.7096774193548387,31,6,0,0,0.1,0.8,0.1,3,20,200,31,0.8,lgbm_per_day_noscale_cv_f1_weighted_thresh_f1_notaccept
Dy20_5,20,0.88,0.9302325581395348,0.5714285714285714,1.0,0.4,0.8695652173913043,1.0,0.4,0.75,20,3,2,0,0.1,0.8,0.05,3,20,500,31,0.8,lgbm_per_day_noscale_cv_f1_weighted_thresh_f1_notaccept
Dy24,24,0.8837209302325582,0.9253731343283582,0.7368421052631579,0.9117647058823528,0.7777777777777778,0.9393939393939394,0.7,0.7777777777777778,0.9052287581699348,31,2,7,3,0.8,0.8,0.05,6,20,200,31,0.8,lgbm_per_day_noscale_cv_f1_weighted_thresh_f1_notaccept
Dy28,28,0.9090909090909092,0.9444444444444444,0.75,0.9714285714285714,0.6666666666666666,0.918918918918919,0.8571428571428571,0.6666666666666666,0.9650793650793652,34,3,6,1,0.1,0.8,0.05,3,20,500,31,0.8,lgbm_per_day_noscale_cv_f1_weighted_thresh_f1_notaccept
Dy30,30,0.9772727272727272,0.9859154929577464,0.9411764705882352,1.0,0.8888888888888888,0.9722222222222222,1.0,0.8888888888888888,0.9904761904761904,35,1,8,0,0.1,0.8,0.1,6,10,200,31,0.8,lgbm_per_day_noscale_cv_f1_weighted_thresh_f1_notaccept
Dy03,3,0.8378378378378378,0.90625,0.4,0.935483870967742,0.3333333333333333,0.8787878787878788,0.5,0.3333333333333333,0.4301075268817204,29,4,2,2,0.6,0.8,0.1,3,10,200,31,0.8,lgbm_per_day_noscale_cv_f1_notaccept_thresh_f1_weighted
