main_id,acceptable,not_acceptable,total,acceptable_rate
BA2_96_1_Dy30_C1_split1_nostitch,3,2,5,0.6
BA2_96_1_Dy30_C1_split2_nostitch,0,5,5,0.0
BA2_96_1_Dy30_D10_split1_nostitch,1,4,5,0.2
BA2_96_1_Dy30_D10_split2_nostitch,4,1,5,0.8
BA2_96_1_Dy30_E1_split1_nostitch,5,0,5,1.0
BA2_96_1_Dy30_E1_split2_nostitch,4,1,5,0.8
BA2_96_1_Dy30_E7_split1_nostitch,5,0,5,1.0
BA2_96_1_Dy30_E7_split2_nostitch,4,1,5,0.8
BA2_96_1_Dy30_E8_split1_nostitch,0,5,5,0.0
BA2_96_1_Dy30_E8_split2_nostitch,1,4,5,0.2
BA2_96_2_Dy30_B3_split1_nostitch,1,4,5,0.2
BA2_96_2_Dy30_B3_split2_nostitch,5,0,5,1.0
BA2_96_2_Dy30_B5_split1_nostitch,2,3,5,0.4
BA2_96_2_Dy30_B5_split2_nostitch,4,1,5,0.8
BA2_96_2_Dy30_B8_split1_nostitch,10,0,10,1.0
BA2_96_2_Dy30_B8_split2_nostitch,0,5,5,0.0
BA2_96_2_Dy30_C8_split1_nostitch,2,3,5,0.4
BA2_96_2_Dy30_C8_split2_nostitch,1,4,5,0.2
BA2_96_2_Dy30_D12_split1_nostitch,5,0,5,1.0
BA2_96_2_Dy30_D5_split1_nostitch,5,0,5,1.0
BA2_96_2_Dy30_D5_split2_nostitch,0,5,5,0.0
BA2_96_2_Dy30_D7_split1_nostitch,0,5,5,0.0
BA2_96_2_Dy30_D7_split2_nostitch,4,1,5,0.8
BA2_96_2_Dy30_E3_split1_nostitch,5,0,5,1.0
BA2_96_2_Dy30_E3_split2_nostitch,2,8,10,0.2
BA4_96_1_Dy30_C12_split1_nostitch,2,3,5,0.4
BA4_96_1_Dy30_C12_split2_nostitch,3,2,5,0.6
