well,initial_area,final_area,days_elapsed,growth_rate_um2_per_day,has_split_at_end,n_timepoints
ba1961_A1,227442.70628353325,2307264.93617483,27,77030.45295893692,False,11
ba1961_A10,231246.777591065,2605572.511666805,27,87937.99015095334,False,11
ba1961_A11,221152.40265715035,2048282.643101036,27,67671.49038681059,False,11
ba1961_A12,232034.7637904823,2761978.115106244,27,93701.60560428748,False,11
ba1961_A2,239045.12377150514,1224125.9570162436,27,36484.475305360684,False,11
ba1961_A3,234629.68386097718,1206604.7915824004,27,35999.07806375642,False,11
ba1961_A4,236504.54757683212,1753323.5570030843,27,56178.48183060194,False,11
ba1961_A5,225676.53031932208,1285411.100111508,27,39249.4285108217,False,11
ba1961_A6,226179.21117067448,1955829.293495124,27,64061.11416016479,False,11
ba1961_A7,232768.40611407772,1724257.890344498,27,55240.35126779335,False,11
ba1961_A8,231042.98805673295,1377319.3467928118,27,42454.679953188104,False,11
ba1961_A9,230295.75976418206,1641032.3545337433,27,52249.50350998375,False,11
ba1961_B1,235906.76494279143,890912.3263877345,27,24259.465238701596,False,11
ba1961_B10,229494.18759580932,1123963.2946194406,27,33128.485445319675,False,11
ba1961_B11,226328.65682918465,1501563.8776803522,27,47230.9341055988,False,11
ba1961_B12,227632.90984890983,627296.6584547687,27,14802.361059476256,False,11
ba1961_B2,238719.06051657384,1096824.956158577,27,31781.69983859271,False,11
ba1961_B3,228611.09961370373,2145466.7073740857,27,70994.6521392734,False,11
ba1961_B4,219603.6021962267,1183223.7697090167,27,35689.635833807035,False,11
ba1961_B5,235512.77184308277,1462296.9991469507,27,45436.45286310622,False,11
ba1961_B6,222660.44521120758,1088259.053057587,27,32059.207698014052,False,11
ba1961_B7,228909.99093072407,1082749.6199267232,27,31623.68996281478,False,11
ba1961_B8,227795.94147637548,1181510.5890888185,27,35322.764726386784,False,11
ba1961_B9,235336.15424666167,1097739.9503534555,27,31940.881337288658,False,11
ba1961_C1,231735.87247346196,821762.1268088338,27,21852.824234643398,False,11
ba1961_C10,223625.049007046,1243963.8098796727,27,37790.32447676395,False,11
ba1961_C11,236490.96160787667,1113937.2943989637,27,32498.012325595813,False,11
ba1961_C12,227768.76953846455,1469636.4206675715,27,45995.09818996693,False,11
ba1961_C2,235621.45959472653,1180342.511393229,27,34989.66858512972,False,11
ba1961_C3,236436.6177320548,1130543.4656379283,27,33115.06844095828,False,11
ba1961_C4,219861.73560638065,1034644.2868300272,27,30177.131526801728,False,11
ba1961_C5,218516.72467978907,1283892.5991072417,27,39458.365719535286,False,11
ba1961_C6,213992.59701761734,1295125.6129464945,27,40041.96355292137,False,11
ba1961_C7,219970.42335802442,1625243.8376816914,27,52047.163493469154,False,11
ba1961_C8,221559.9817258145,1244781.4642665854,27,37897.091945954475,False,11
ba1961_C9,228543.16976892637,261461.97254803163,5,6583.760555821052,False,3
ba1961_D1,225893.9058226096,2340087.919420896,27,78303.48198512172,False,11
ba1961_D10,227768.76953846455,1074397.8644032578,27,31356.633143140494,False,11
ba1961_D11,229684.3911611859,1405839.9105267895,27,43561.315532059394,False,11
ba1961_D12,224576.06683392896,1576534.9977756075,27,50072.55299783995,False,11
ba1961_D2,222307.21001836535,1155462.456477172,27,34561.30542440024,False,11
ba1961_D3,221994.73273238953,1339785.1168412012,27,41399.64385588191,False,11
ba1961_D4,222157.76435985518,1014572.8184274804,27,29348.70570620834,False,11
ba1961_D5,222986.50846613888,1053119.3823819351,27,30745.661996881343,False,11
ba1961_D6,215718.0150749621,1153690.8719721944,27,34739.73544063824,False,11
ba1961_D7,221668.66947745823,1054345.863962304,27,30839.89609203133,False,11
ba1961_D8,225893.9058226096,1776393.0914909777,27,57425.895765495115,False,11
ba1961_D9,231287.5354979314,1160193.1711443095,27,34403.91243134734,False,11
ba1961_E1,244656.12895011448,1544977.432033097,27,48160.04826233269,False,11
ba1961_E10,225622.1864435002,943689.9702667885,27,26595.10310456623,False,11
ba1961_E11,222837.0628076287,1067778.757461584,27,31294.136839035382,False,11
ba1961_E12,219902.49351324706,1585607.0678780195,27,50581.650902398986,False,11
ba1961_E2,231667.9426286846,1106948.2961870197,27,32417.790872530928,False,11
ba1961_E3,227958.97310384113,1367955.2572665021,27,42222.084598617075,False,11
ba1961_E4,231504.91100121895,1392134.4655652056,27,42986.27979866617,False,11
ba1961_E5,219291.1249102509,1017415.1408200816,27,29560.148737401138,False,11
ba1961_E6,222089.83451507782,1197630.0612879542,27,36131.11951010654,False,11
ba1961_E7,227755.18356950907,1317435.8969322545,27,40358.544939360945,False,11
ba1961_E8,225323.29512647985,298456.56601377804,3,24377.75696243273,False,2
ba1961_E9,235186.7085881515,1870209.198408411,27,60556.388511861456,False,11
ba1961_F1,254967.87938731667,1471232.7935182105,27,45046.848671514585,False,11
ba1961_F10,226478.10248769482,1147032.8291073341,27,34094.61950443109,False,11
ba1961_F11,230947.88627404466,1302854.3936989785,27,39700.24101573829,False,11
ba1961_F12,219671.53204100407,1620337.9113602152,27,51876.532567378184,False,11
ba1961_F2,235947.52284965783,1173158.8335653534,27,34711.530026507244,False,11
ba1961_F3,230146.3141056719,1356391.2880801659,27,41712.77681387015,False,11
ba1961_F4,219644.36010309312,1057227.1222780917,27,31021.58378425921,False,11
ba1961_F5,231545.66890808535,1270557.045415928,27,38481.9028336238,False,11
ba1961_F6,219807.39173055877,1841026.7239802654,27,60045.160453692835,False,11
ba1961_F7,222809.89086971778,1117616.7391400707,27,33140.99438038344,False,11
ba1961_F8,220622.54986788702,1266566.1132893302,27,38738.650497090486,False,11
