main_id,inv_count,normal_count,inv_rate,normal_rate,rate_diff,inv_agreement,normal_agreement,agreement_diff
BA1_96_1_Dy30_A8_nosplit_nostitch,5,5,0.2,0.2,0.0,0.6,0.6,0.0
BA1_96_1_Dy30_B4_nosplit_nostitch,5,5,1.0,1.0,0.0,1.0,1.0,0.0
BA1_96_1_Dy30_C10_nosplit_nostitch,5,5,1.0,1.0,0.0,1.0,1.0,0.0
BA1_96_1_Dy30_C11_nosplit_nostitch,5,5,1.0,1.0,0.0,1.0,1.0,0.0
BA1_96_1_Dy30_D11_nosplit_nostitch,5,5,0.8,1.0,-0.19999999999999996,0.6,1.0,-0.4
BA1_96_1_Dy30_G3_nosplit_nostitch,5,5,0.8,1.0,-0.19999999999999996,0.6,1.0,-0.4
BA1_96_1_Dy30_G9_nosplit_nostitch,5,5,0.8,0.8,0.0,0.6,0.6,0.0
BA2_96_1_Dy30_A6_nosplit_nostitch,5,5,1.0,1.0,0.0,1.0,1.0,0.0
BA2_96_1_Dy30_B3_nosplit_nostitch,5,5,0.0,0.0,0.0,1.0,1.0,0.0
BA2_96_1_Dy30_D11_nosplit_nostitch,5,5,1.0,1.0,0.0,1.0,1.0,0.0
BA2_96_1_Dy30_D3_nosplit_nostitch,5,5,1.0,1.0,0.0,1.0,1.0,0.0
BA2_96_1_Dy30_E5_nosplit_nostitch,5,5,1.0,0.8,0.19999999999999996,1.0,0.6,0.4
BA2_96_1_Dy30_F3_nosplit_nostitch,5,5,0.6,0.2,0.39999999999999997,0.2,0.6,-0.39999999999999997
BA2_96_1_Dy30_H3_nosplit_nostitch,5,5,0.6,0.4,0.19999999999999996,0.2,0.2,0.0
BA2_96_2_Dy30_A2_nosplit_nostitch,5,5,0.2,0.4,-0.2,0.6,0.2,0.39999999999999997
BA2_96_2_Dy30_B10_nosplit_nostitch,5,5,1.0,1.0,0.0,1.0,1.0,0.0
BA2_96_2_Dy30_B8_split1_nostitch,5,5,1.0,1.0,0.0,1.0,1.0,0.0
BA2_96_2_Dy30_D4_nosplit_nostitch,5,5,0.4,0.0,0.4,0.2,1.0,-0.8
BA2_96_2_Dy30_E3_split2_nostitch,5,5,0.2,0.2,0.0,0.6,0.6,0.0
BA2_96_2_Dy30_E6_nosplit_nostitch,5,5,1.0,1.0,0.0,1.0,1.0,0.0
BA2_96_2_Dy30_H3_nosplit_nostitch,5,5,1.0,1.0,0.0,1.0,1.0,0.0
BA4_96_1_Dy30_A11_nosplit_nostitch,5,5,0.8,0.4,0.4,0.6,0.2,0.39999999999999997
BA4_96_1_Dy30_A4_nosplit_nostitch,5,5,0.2,0.0,0.2,0.6,1.0,-0.4
BA4_96_1_Dy30_D2_nosplit_nostitch,5,5,0.2,0.0,0.2,0.6,1.0,-0.4
BA4_96_1_Dy30_E3_nosplit_nostitch,5,5,0.4,0.2,0.2,0.2,0.6,-0.39999999999999997
BA4_96_1_Dy30_F5_nosplit_nostitch,5,5,0.0,0.0,0.0,1.0,1.0,0.0
BA4_96_1_Dy30_F6_nosplit_nostitch,5,5,0.2,0.2,0.0,0.6,0.6,0.0
BA4_96_1_Dy30_G3_nosplit_nostitch,5,5,0.2,0.2,0.0,0.6,0.6,0.0
