well,area_um2,area_pixels,rating,is_split,split_index
ba1961_A1,2307264.93617483,118516,Acceptable,False,0
ba1961_A10,2605572.511666805,133839,Acceptable,False,0
ba1961_A11,2048282.643101036,105213,Acceptable,False,0
ba1961_A12,2761978.115106244,141873,Acceptable,False,0
ba1961_A2,1224125.9570162436,62879,Acceptable,False,0
ba1961_A3,1206604.7915824004,61979,Acceptable,False,0
ba1961_A4,1753323.5570030843,90062,Acceptable,False,0
ba1961_A5,1285411.100111508,66027,Acceptable,False,0
ba1961_A6,1955829.293495124,100464,Acceptable,False,0
ba1961_A7,1724257.890344498,88569,Acceptable,False,0
ba1961_A8,1377319.3467928118,70748,Not Acceptable,False,0
ba1961_A9,1641032.3545337433,84294,Acceptable,False,0
ba1961_B1,890912.3263877345,45763,Not Acceptable,False,0
ba1961_B10,1123963.2946194406,57734,Acceptable,False,0
ba1961_B11,1501563.8776803522,77130,Acceptable,False,0
ba1961_B12,627296.6584547687,32222,Not Acceptable,False,0
ba1961_B2,1096824.956158577,56340,Acceptable,False,0
ba1961_B3,2145466.7073740857,110205,Acceptable,False,0
ba1961_B4,1183223.7697090167,60778,Acceptable,False,0
ba1961_B5,1462296.9991469507,75113,Acceptable,False,0
ba1961_B6,1088259.053057587,55900,Acceptable,False,0
ba1961_B7,1082749.6199267232,55617,Acceptable,False,0
ba1961_B8,1181510.5890888185,60690,Acceptable,False,0
ba1961_B9,1097739.9503534555,56387,Acceptable,False,0
ba1961_C1,821762.1268088338,42211,Acceptable,False,0
ba1961_C10,1243963.8098796727,63898,Acceptable,False,0
ba1961_C11,1113937.2943989637,57219,Acceptable,False,0
ba1961_C12,1469636.4206675715,75490,Acceptable,False,0
ba1961_C2,1180342.511393229,60630,Acceptable,False,0
ba1961_C3,1130543.4656379283,58072,Acceptable,False,0
ba1961_C4,1034644.2868300272,53146,Acceptable,False,0
ba1961_C5,1283892.5991072417,65949,Acceptable,False,0
ba1961_C6,1295125.6129464945,66526,Acceptable,False,0
ba1961_C7,1625243.8376816914,83483,Not Acceptable,False,0
ba1961_C8,1244781.4642665854,63940,Acceptable,False,0
ba1961_D1,2340087.919420896,120202,Not Acceptable,False,0
ba1961_D10,1074397.8644032578,55188,Acceptable,False,0
ba1961_D11,1405839.9105267895,72213,Acceptable,False,0
ba1961_D12,1576534.9977756075,80981,Acceptable,False,0
ba1961_D2,1155462.456477172,59352,Acceptable,False,0
ba1961_D3,1339785.1168412012,68820,Acceptable,False,0
ba1961_D4,1014572.8184274804,52115,Acceptable,False,0
ba1961_D5,1053119.3823819351,54095,Acceptable,False,0
ba1961_D6,1153690.8719721944,59261,Acceptable,False,0
ba1961_D7,1054345.863962304,54158,Acceptable,False,0
