well,area_um2,area_pixels,rating,is_split,split_index
ba2961_C1,1041789.0287347166,53513,Not Acceptable,True,1
ba2961_C1,1340933.7265751974,68879,Not Acceptable,True,2
ba2961_D10,1617884.9481994773,83105,Not Acceptable,True,1
ba2961_D10,1380570.4963788693,70915,Not Acceptable,True,2
ba2961_E1,849757.0555797964,43649,Acceptable,True,1
ba2961_E1,1082165.5810789284,55587,Acceptable,True,2
ba2961_E7,1066435.468111656,54779,Acceptable,True,1
ba2961_E7,1924252.25979102,98842,Acceptable,True,2
ba2961_E8,765811.2051900949,39337,Not Acceptable,True,1
ba2961_E8,743306.2415884031,38181,Not Acceptable,True,2
ba2962_B3,650638.7444049664,33421,Not Acceptable,True,1
ba2962_B3,1025455.4089580562,52674,Not Acceptable,True,2
ba2962_B5,514538.2249071919,26430,Acceptable,True,1
ba2962_B5,1316151.0114671062,67606,Acceptable,True,2
ba2962_B8,1585373.4523389018,81435,Not Acceptable,True,1
ba2962_B8,874676.04641904,44929,Not Acceptable,True,2
ba2962_C8,838777.1252412547,43085,Not Acceptable,True,1
ba2962_C8,323888.477025386,16637,Not Acceptable,True,2
ba2962_D12,1124372.121812897,57755,Acceptable,True,1
ba2962_D12,2970704.6140950522,97196,Acceptable,True,2
ba2962_D5,1219375.7743875128,62635,Not Acceptable,True,1
ba2962_D5,2086907.0789018634,107197,Not Acceptable,True,2
ba2962_D7,2215259.3496855604,113790,Acceptable,True,1
ba2962_D7,1040426.2714231955,53443,Acceptable,True,2
ba2962_E3,1082730.15196513,55616,Not Acceptable,True,1
ba2962_E3,663799.0864419418,34097,Not Acceptable,True,2
ba4961_C12,656284.4532669825,33711,Acceptable,True,1
ba4961_C12,865545.5724318484,44460,Acceptable,True,2
