well,last_presplit_day,last_presplit_area,split_onset_day,n_splits_at_onset,sum_splits_onset,mass_ratio_onset,split_areas_onset,n_splits_dy30,sum_splits_dy30,split_areas_dy30
ba2961_C1,Dy24,1491693.6211526208,Dy28,2,1997101.372072621,1.3388147162079271,"[np.float64(999660.3598471206), np.float64(997441.0122255004)]",2,2372365.7997423536,"[np.float64(1039511.277228317), np.float64(1332854.5225140366)]"
ba2961_D10,Dy21,808095.6177704362,Dy24,2,1757762.2522463244,2.1751909224505526,"[np.float64(692825.8171773419), np.float64(1064936.4350689827)]",2,2978189.296559868,"[np.float64(1611226.9053346168), np.float64(1366962.3912252511)]"
ba2961_E1,Dy21,642209.1170351285,Dy24,2,1612609.1306077312,2.51103431550867,"[np.float64(872417.7628742334), np.float64(740191.3677334976)]",2,1954953.2352234318,"[np.float64(852871.9294347018), np.float64(1102081.30578873)]"
ba2961_E7,Dy17,870373.6269069518,Dy21,2,1482641.0190118018,1.7034535206227075,"[np.float64(328813.8713084552), np.float64(1153827.1477033466)]",2,3008053.149643774,"[np.float64(1083002.7034274342), np.float64(1925050.4462163397)]"
ba2961_E8,Dy17,459171.3421362477,Dy21,1,482299.2805089206,1.0503688628847623,[np.float64(482299.2805089206)],2,1509915.6332038175,"[np.float64(766297.9042299238), np.float64(743617.7289738937)]"
ba2962_B3,Dy21,961035.9240462931,Dy24,2,1482816.23066614,1.5429352780309935,"[np.float64(650560.8725585938), np.float64(832255.3581075465)]",2,1682284.965149647,"[np.float64(651456.3987918791), np.float64(1030828.5663577681)]"
ba2962_B5,Dy21,853163.9488585992,Dy24,2,2149496.5754238693,2.5194414019715223,"[np.float64(1143664.8717517175), np.float64(1005831.703672152)]",2,1831662.634453956,"[np.float64(508094.32961985626), np.float64(1323568.3048340997)]"
ba2962_B8,Dy21,1187487.2532979185,Dy24,2,1639942.1486845263,1.3810187386264898,"[np.float64(811891.8702811021), np.float64(828050.2784034242)]",2,2461782.147339733,"[np.float64(1593413.7204768765), np.float64(868368.4268628564)]"
ba2962_C8,Dy24,783468.6463550901,Dy28,2,1127895.8228612589,1.4396183281979924,"[np.float64(835214.4882697066), np.float64(292681.33459155215)]",2,535291.0719654993,"[np.float64(210623.87647638703), np.float64(324667.19548911235)]"
ba2962_D12,Dy17,776207.0966808418,Dy21,2,1559266.9158424756,2.0088284718216247,"[np.float64(429424.2968219008), np.float64(1129842.6190205747)]",2,4109317.255085612,"[np.float64(1133814.0831855792), np.float64(2975503.171900033)]"
ba2962_D5,Dy17,615771.6251916186,Dy21,2,2159580.9795291256,3.507113499841922,"[np.float64(837355.9640449542), np.float64(1322225.0154841717)]",2,3298612.4764216715,"[np.float64(1218655.459808566), np.float64(2079957.0166131055)]"
ba2962_D7,Dy17,984923.1129210992,Dy21,2,1404924.916331911,1.426431056293485,"[np.float64(733143.9656367741), np.float64(671780.950695137)]",2,3266062.04463791,"[np.float64(2224993.33048214), np.float64(1041068.7141557697)]"
ba2962_E3,Dy21,569126.3892144096,Dy24,1,675148.9080507535,1.1862899363754533,[np.float64(675148.9080507535)],2,1733680.383755587,"[np.float64(1075001.371212646), np.float64(658679.012542941)]"
ba4961_C12,Dy15,702815.7600354494,Dy17,2,940380.4167959515,1.3380183972375912,"[np.float64(408418.3662628823), np.float64(531962.0505330692)]",2,1530687.9482237182,"[np.float64(662377.9252456413), np.float64(868310.022978077)]"
