"All analyzed organoids (for the intial part of the paper, mainly figure 1, where classification was not important) - excluded split organoids - stripped ""Dy"" and ""Stitched"" labels to find unique organoid IDs. Not all reached Day 30.",Classified organoids (Reached Day 30 and were included in the survey)
BA1_96_1_A1,BA1_96_1_Dy30_A1_nosplit_nostitch
BA1_96_1_A10,BA1_96_1_Dy30_A10_nosplit_nostitch
BA1_96_1_A11,BA1_96_1_Dy30_A11_nosplit_nostitch
BA1_96_1_A12,BA1_96_1_Dy30_A12_nosplit_nostitch
BA1_96_1_A2,BA1_96_1_Dy30_A2_nosplit_nostitch
BA1_96_1_A3,BA1_96_1_Dy30_A3_nosplit_nostitch
BA1_96_1_A4,BA1_96_1_Dy30_A4_nosplit_nostitch
BA1_96_1_A5,BA1_96_1_Dy30_A5_nosplit_nostitch
BA1_96_1_A6,BA1_96_1_Dy30_A6_nosplit_nostitch
BA1_96_1_A7,BA1_96_1_Dy30_A7_nosplit_nostitch
BA1_96_1_A8,BA1_96_1_Dy30_A8_nosplit_nostitch
BA1_96_1_A9,BA1_96_1_Dy30_A9_nosplit_nostitch
BA1_96_1_B1,BA1_96_1_Dy30_B1_nosplit_nostitch
BA1_96_1_B10,BA1_96_1_Dy30_B10_nosplit_nostitch
BA1_96_1_B11,BA1_96_1_Dy30_B11_nosplit_nostitch
BA1_96_1_B12,BA1_96_1_Dy30_B12_nosplit_nostitch
BA1_96_1_B2,BA1_96_1_Dy30_B2_nosplit_nostitch
BA1_96_1_B3,BA1_96_1_Dy30_B3_nosplit_nostitch
BA1_96_1_B4,BA1_96_1_Dy30_B4_nosplit_nostitch
BA1_96_1_B5,BA1_96_1_Dy30_B5_nosplit_nostitch
BA1_96_1_B6,BA1_96_1_Dy30_B6_nosplit_nostitch
BA1_96_1_B7,BA1_96_1_Dy30_B7_nosplit_nostitch
BA1_96_1_B8,BA1_96_1_Dy30_B8_nosplit_nostitch
BA1_96_1_B9,BA1_96_1_Dy30_B9_nosplit_nostitch
BA1_96_1_C1,BA1_96_1_Dy30_C1_nosplit_nostitch
BA1_96_1_C10,BA1_96_1_Dy30_C10_nosplit_nostitch
BA1_96_1_C11,BA1_96_1_Dy30_C11_nosplit_nostitch
BA1_96_1_C12,BA1_96_1_Dy30_C12_nosplit_nostitch
BA1_96_1_C2,BA1_96_1_Dy30_C2_nosplit_nostitch
BA1_96_1_C3,BA1_96_1_Dy30_C3_nosplit_nostitch
BA1_96_1_C4,BA1_96_1_Dy30_C4_nosplit_nostitch
BA1_96_1_C5,BA1_96_1_Dy30_C5_nosplit_nostitch
BA1_96_1_C6,BA1_96_1_Dy30_C6_nosplit_nostitch
BA1_96_1_C7,BA1_96_1_Dy30_C7_nosplit_nostitch
BA1_96_1_C8,BA1_96_1_Dy30_C8_nosplit_nostitch
BA1_96_1_C9,BA1_96_1_Dy30_D1_nosplit_nostitch
BA1_96_1_D1,BA1_96_1_Dy30_D10_nosplit_nostitch
BA1_96_1_D10,BA1_96_1_Dy30_D11_nosplit_nostitch
BA1_96_1_D11,BA1_96_1_Dy30_D12_nosplit_nostitch
BA1_96_1_D12,BA1_96_1_Dy30_D2_nosplit_nostitch
BA1_96_1_D2,BA1_96_1_Dy30_D3_nosplit_nostitch
BA1_96_1_D3,BA1_96_1_Dy30_D4_nosplit_nostitch
BA1_96_1_D4,BA1_96_1_Dy30_D5_nosplit_nostitch
BA1_96_1_D5,BA1_96_1_Dy30_D6_nosplit_nostitch
BA1_96_1_D6,BA1_96_1_Dy30_D7_nosplit_nostitch
BA1_96_1_D7,BA1_96_1_Dy30_D8_nosplit_nostitch
BA1_96_1_D8,BA1_96_1_Dy30_D9_nosplit_nostitch
BA1_96_1_D9,BA1_96_1_Dy30_E1_nosplit_nostitch
BA1_96_1_E1,BA1_96_1_Dy30_E10_nosplit_nostitch
BA1_96_1_E10,BA1_96_1_Dy30_E11_nosplit_nostitch
BA1_96_1_E11,BA1_96_1_Dy30_E12_nosplit_nostitch
BA1_96_1_E12,BA1_96_1_Dy30_E2_nosplit_nostitch
BA1_96_1_E2,BA1_96_1_Dy30_E3_nosplit_nostitch
BA1_96_1_E3,BA1_96_1_Dy30_E4_nosplit_nostitch
BA1_96_1_E4,BA1_96_1_Dy30_E5_nosplit_nostitch
BA1_96_1_E5,BA1_96_1_Dy30_E6_nosplit_nostitch
BA1_96_1_E6,BA1_96_1_Dy30_E7_nosplit_nostitch
BA1_96_1_E7,BA1_96_1_Dy30_E9_nosplit_nostitch
BA1_96_1_E8,BA1_96_1_Dy30_F1_nosplit_nostitch
BA1_96_1_E9,BA1_96_1_Dy30_F10_nosplit_nostitch
BA1_96_1_F1,BA1_96_1_Dy30_F11_nosplit_nostitch
BA1_96_1_F10,BA1_96_1_Dy30_F12_nosplit_nostitch
BA1_96_1_F11,BA1_96_1_Dy30_F2_nosplit_nostitch
BA1_96_1_F12,BA1_96_1_Dy30_F3_nosplit_nostitch
BA1_96_1_F2,BA1_96_1_Dy30_F4_nosplit_nostitch
BA1_96_1_F3,BA1_96_1_Dy30_F5_nosplit_nostitch
BA1_96_1_F4,BA1_96_1_Dy30_F6_nosplit_nostitch
BA1_96_1_F5,BA1_96_1_Dy30_F7_nosplit_nostitch
BA1_96_1_F6,BA1_96_1_Dy30_F8_nosplit_nostitch
BA1_96_1_F7,BA1_96_1_Dy30_F9_nosplit_nostitch
BA1_96_1_F8,BA1_96_1_Dy30_G1_nosplit_nostitch
BA1_96_1_F9,BA1_96_1_Dy30_G10_nosplit_nostitch
BA1_96_1_G1,BA1_96_1_Dy30_G11_nosplit_nostitch
BA1_96_1_G10,BA1_96_1_Dy30_G12_nosplit_nostitch
BA1_96_1_G11,BA1_96_1_Dy30_G2_nosplit_nostitch
BA1_96_1_G12,BA1_96_1_Dy30_G3_nosplit_nostitch
BA1_96_1_G2,BA1_96_1_Dy30_G5_nosplit_nostitch
BA1_96_1_G3,BA1_96_1_Dy30_G6_nosplit_nostitch
BA1_96_1_G4,BA1_96_1_Dy30_G7_nosplit_nostitch
BA1_96_1_G5,BA1_96_1_Dy30_G8_nosplit_nostitch
BA1_96_1_G6,BA1_96_1_Dy30_G9_nosplit_nostitch
BA1_96_1_G7,BA1_96_1_Dy30_H10_nosplit_nostitch
BA1_96_1_G8,BA1_96_1_Dy30_H11_nosplit_nostitch
BA1_96_1_G9,BA1_96_1_Dy30_H12_nosplit_nostitch
BA1_96_1_H1,BA1_96_1_Dy30_H2_nosplit_nostitch
BA1_96_1_H10,BA1_96_1_Dy30_H3_nosplit_nostitch
BA1_96_1_H11,BA1_96_1_Dy30_H4_nosplit_nostitch
BA1_96_1_H12,BA1_96_1_Dy30_H5_nosplit_nostitch
BA1_96_1_H2,BA1_96_1_Dy30_H6_nosplit_nostitch
BA1_96_1_H3,BA1_96_1_Dy30_H7_nosplit_nostitch
BA1_96_1_H4,BA1_96_1_Dy30_H8_nosplit_nostitch
BA1_96_1_H5,BA1_96_1_Dy30_H9_nosplit_nostitch
BA1_96_1_H6,BA2_96_1_Dy30_A10_nosplit_nostitch
BA1_96_1_H7,BA2_96_1_Dy30_A11_nosplit_nostitch
BA1_96_1_H8,BA2_96_1_Dy30_A12_nosplit_stitched
BA1_96_1_H9,BA2_96_1_Dy30_A2_nosplit_nostitch
BA2_96_1_A10,BA2_96_1_Dy30_A3_nosplit_nostitch
BA2_96_1_A11,BA2_96_1_Dy30_A4_nosplit_nostitch
BA2_96_1_A12,BA2_96_1_Dy30_A5_nosplit_stitched
BA2_96_1_A2,BA2_96_1_Dy30_A6_nosplit_nostitch
BA2_96_1_A3,BA2_96_1_Dy30_A7_nosplit_nostitch
BA2_96_1_A4,BA2_96_1_Dy30_A8_nosplit_nostitch
BA2_96_1_A5,BA2_96_1_Dy30_B1_nosplit_nostitch
BA2_96_1_A6,BA2_96_1_Dy30_B10_nosplit_nostitch
BA2_96_1_A7,BA2_96_1_Dy30_B11_nosplit_nostitch
BA2_96_1_A8,BA2_96_1_Dy30_B2_nosplit_nostitch
BA2_96_1_A9,BA2_96_1_Dy30_B3_nosplit_nostitch
BA2_96_1_B1,BA2_96_1_Dy30_B4_nosplit_stitched
BA2_96_1_B10,BA2_96_1_Dy30_B5_nosplit_nostitch
BA2_96_1_B11,BA2_96_1_Dy30_B6_nosplit_nostitch
BA2_96_1_B12,BA2_96_1_Dy30_B7_nosplit_nostitch
BA2_96_1_B2,BA2_96_1_Dy30_B8_nosplit_nostitch
BA2_96_1_B3,BA2_96_1_Dy30_B9_nosplit_stitched
BA2_96_1_B4,BA2_96_1_Dy30_C10_nosplit_nostitch
BA2_96_1_B5,BA2_96_1_Dy30_C11_nosplit_nostitch
BA2_96_1_B6,BA2_96_1_Dy30_C12_nosplit_nostitch
BA2_96_1_B7,BA2_96_1_Dy30_C2_nosplit_nostitch
BA2_96_1_B8,BA2_96_1_Dy30_C3_nosplit_nostitch
BA2_96_1_B9,BA2_96_1_Dy30_C4_nosplit_nostitch
BA2_96_1_C10,BA2_96_1_Dy30_C5_nosplit_stitched
BA2_96_1_C11,BA2_96_1_Dy30_C7_nosplit_stitched
BA2_96_1_C12,BA2_96_1_Dy30_C8_nosplit_nostitch
BA2_96_1_C2,BA2_96_1_Dy30_C9_nosplit_nostitch
BA2_96_1_C3,BA2_96_1_Dy30_D1_nosplit_nostitch
BA2_96_1_C4,BA2_96_1_Dy30_D11_nosplit_nostitch
BA2_96_1_C5,BA2_96_1_Dy30_D12_nosplit_nostitch
BA2_96_1_C6,BA2_96_1_Dy30_D2_nosplit_nostitch
BA2_96_1_C7,BA2_96_1_Dy30_D3_nosplit_nostitch
BA2_96_1_C8,BA2_96_1_Dy30_D4_nosplit_stitched
BA2_96_1_C9,BA2_96_1_Dy30_D5_nosplit_nostitch
BA2_96_1_D1,BA2_96_1_Dy30_D6_nosplit_nostitch
BA2_96_1_D11,BA2_96_1_Dy30_D7_nosplit_stitched
BA2_96_1_D12,BA2_96_1_Dy30_D8_nosplit_nostitch
BA2_96_1_D2,BA2_96_1_Dy30_D9_nosplit_nostitch
BA2_96_1_D3,BA2_96_1_Dy30_E10_nosplit_nostitch
BA2_96_1_D4,BA2_96_1_Dy30_E11_nosplit_nostitch
BA2_96_1_D5,BA2_96_1_Dy30_E12_nosplit_nostitch
BA2_96_1_D6,BA2_96_1_Dy30_E2_nosplit_nostitch
BA2_96_1_D7,BA2_96_1_Dy30_E3_nosplit_nostitch
BA2_96_1_D8,BA2_96_1_Dy30_E5_nosplit_nostitch
BA2_96_1_D9,BA2_96_1_Dy30_E6_nosplit_nostitch
BA2_96_1_E10,BA2_96_1_Dy30_E9_nosplit_stitched
BA2_96_1_E11,BA2_96_1_Dy30_F1_nosplit_nostitch
