Organoid,Day,Volume,Classification,Sub_Bad(z=-1.08),Sub_Bad(z=0),Phase,GlucoseGlo_TL,GlutamateGlo_TL,LactateGlo_TL,PyruvateGlo_TL,MalateGlo_TL,BCAAGlo_TL,Volume_win,Area_win,Circ._win,AR_win,Solidity_win,Complexity_win,Feret_win,GlucoseGlo_win,GlutamateGlo_win,LactateGlo_win,PyruvateGlo_win,MalateGlo_win,BCAAGlo_win,GlucoseGlo_win_vol_norm,GlutamateGlo_win_vol_norm,LactateGlo_win_vol_norm,PyruvateGlo_win_vol_norm,MalateGlo_win_vol_norm,BCAAGlo_win_vol_norm,GrowthRate_overall_ln,DoublingTime_overall_days,GrowthRate_phase_ln,DoublingTime_phase_days,Area_win_log,Circ._win_resid,AR_win_resid,Solidity_win_resid,Complexity_win_resid,Feret_win_resid,GlucoseGlo_win_vol_norm_resid,GlutamateGlo_win_vol_norm_resid,LactateGlo_win_vol_norm_resid,PyruvateGlo_win_vol_norm_resid,MalateGlo_win_vol_norm_resid,BCAAGlo_win_vol_norm_resid
BA1_96_1_A1,3,11778936.67,Good,,,EB,,,5.0,2.6,0.025,,11778936.67,227456.604,0.858,1.016,0.985,0.163577,551.876,,,3.08,0.4,0.0071,,,,2.6148370487843026e-07,3.395892271148445e-08,6.02770878128849e-10,,,,0.09982794849206418,6.943418061075822,12.33471474752938,0.011975007275716543,-0.03775444131814054,0.0035284447027518206,-0.01616656334437591,-18.127355373763976,,,5.0916501085897924e-08,2.474656916496078e-09,3.927561385167034e-11,
BA1_96_1_A1,6,14446834.48,Good,,,EB,,,5.5,2.65,0.025,,14446834.48,306875.864,0.658,1.175,0.918,0.21226,748.3,,,4.93,0.24,0.0083,,,,3.412512275145828e-07,1.661263582221093e-08,5.745203221847946e-10,,,,0.09982794849206418,6.943418061075822,12.634198593005573,-0.09775236925639108,0.0632736428971723,-0.0346024731403306,-0.0022575163712852675,34.637195845673546,,,8.744800267672084e-08,-6.015320980801361e-10,9.823124458318663e-11,
BA1_96_1_A1,8,15647218.72,Good,,,NI,,,11.0,14.5,0.125,,15647218.72,258397.214,0.859,1.058,0.987,0.161307,599.833,,,1.42,0.32,0.0083,,,,9.075095232004272e-08,2.0450918832685684e-08,5.304457072227849e-10,,,,0.06794150563632062,10.202116866091323,12.462253269098714,-0.0034167083983195345,0.01331595384793105,-0.0014396908894280802,-0.014317799951574811,2.3580872815421117,,,4.956353890035584e-09,-8.57009065554608e-10,1.0161882025162278e-10,
BA1_96_1_A1,10,15266893.89,Good,,,NI,,,3.0,14.0,0.125,,15266893.89,296006.378,0.787,1.088,0.968,0.189969,691.004,,,1.28,0.39,0.0055,,,,8.38415468937277e-08,2.554547131918266e-08,3.602566468089862e-10,,,,0.06794150563632062,10.202116866091323,12.598136280371355,-0.03256548310191876,-0.02026688413502198,-0.008569521224478516,-0.005426267171286553,15.52121629671285,,,1.2729589241301502e-08,1.4470570630221278e-09,8.1332420913235e-11,
BA1_96_1_A1,13,26679250.12,Good,,,ED,,,1.5,6.666666667,0.083333333,,26679250.12,574861.793,0.427,1.025,0.8056000000000001,0.3983361999999996,1095.564,,,4.46,0.23,0.0053,,,,1.6717111537766113e-07,8.620931958937682e-09,1.9865625818421616e-10,,,,0.17449834382375595,3.9722278468157084,13.261884930888392,-0.24476847097400395,-0.24217333206165437,-0.11932714809459433,0.16478083943598054,45.97288079999521,,,4.104102691889794e-08,-4.015927004694615e-10,-1.5390223143268164e-12,
BA1_96_1_A1,15,50873510.39,Good,,,ED,,,2.25,10.0,0.125,,50873510.39,814949.656,0.567,1.17,0.894,0.282383,1292.388,,,4.25,0.2,0.0052,,,,8.354052958836914e-08,3.931319039452666e-09,1.0221429502576929e-10,,,,0.17449834382375595,3.9722278468157084,13.610881618535904,-0.016262762218919757,-0.2039493735117437,0.0038426400608089217,0.03193631306712075,-17.838160273293397,,,-9.227507308191542e-09,-1.8867568890600716e-09,-1.875306167281911e-11,
BA1_96_1_A1,17,78188064.18,Good,,,LD,,,2.0,9.0,0.125,,78188064.18,1105925.45,0.586,1.139,0.866,0.236132,1441.24,,,4.29,0.25,0.0057,,,,5.486770960493167e-08,3.1974189746463675e-09,7.290115262193718e-11,,,,0.12836668905187412,5.3997433888774555,13.916193053729303,0.018356568911597315,-0.340126864528115,-0.010445745336817747,-0.01367132328316889,-126.02941961281567,,,6.630200537048242e-09,-1.3794039517696926e-09,-1.0669699329933926e-12,
BA1_96_1_A1,21,,Good,,,LD,,,,,,,,1671015.574,0.455,1.182,0.77,0.234792,1972.202,,,,,,,,,,,,,,,0.12836668905187412,5.3997433888774555,14.328942127701662,-0.05954204888916165,-0.45750234250394106,-0.08422942035471626,-0.029366353314833116,-40.04371937605197,,,,,,
BA1_96_1_A1,24,229616240.4,Good,,,LD,,,2.666666667,12.0,0.166666667,,229616240.4,2716242.032,0.387,1.409,0.835,0.302545,2680.999,,,8.92,0.36,0.0093,,,,3.884742640355503e-08,1.5678333526098444e-09,4.050236160908764e-11,,,,0.12836668905187412,5.3997433888774555,14.814759877092422,-0.04229754927700424,-0.3266107936316829,-0.0029266045789415607,0.014347676550488686,-38.9106219408709,,,8.343728154116842e-09,5.947024901782944e-10,1.1936301384269025e-11,
BA1_96_1_A10,3,12032708.65,Good,,,EB,108.0,1.2,5.0,2.6,0.025,54.0,12032708.65,231159.458,0.857,1.068,0.986,0.165842,565.013,18.09,0.2,2.71,0.33,0.0057,8.06,1.5034021454512654e-06,1.6621361475414764e-08,2.2521944799187006e-07,2.7425246434434362e-08,4.737088020493208e-10,6.69840867459215e-07,,,0.08256220103973415,8.395454237301148,12.350863045732652,0.013707841522785258,0.008719290526344459,0.005228963990556057,-0.014798068502745287,-11.665139251367577,6.870296766100941e-08,-1.770814588791392e-09,1.509102735270664e-08,-3.549249950636281e-09,-8.308808108131148e-11,-1.974967586838801e-08
BA1_96_1_A10,6,14232837.17,Good,,,EB,95.5,1.2,5.5,2.65,0.025,59.8,14232837.17,296128.763,0.714,1.062,0.945,0.233523,699.112,14.47,0.22,4.25,0.21,0.0067,11.07,1.0166630747733062e-06,1.5457213299939693e-08,2.9860525693065315e-07,1.4754612695396978e-08,4.707424050436179e-10,7.777788692287836e-07,,,0.08256220103973415,8.395454237301148,12.598549648851854,-0.04962981973071101,-0.04780311820067351,-0.010157188170182185,0.022361506714693086,0.08299902435408057,1.7843263052901003e-08,7.035183869932793e-10,3.857816511458067e-08,-3.311238337022262e-09,-2.696053722967804e-11,5.52306779656864e-08
BA1_96_1_A10,8,15355457.0,Good,,,NI,637.5,5.5,11.0,14.5,0.125,55.0,15355457.0,260625.757,0.865,1.022,0.987,0.173121,588.19,15.7,0.18,1.12,0.25,0.0069,2.16,1.0224378212905027e-06,1.172221705938156e-08,7.293823948059638e-08,1.6280857026918836e-08,4.4935165394295984e-10,1.4066660471257874e-07,,,0.14073270662089143,4.925274282027126,12.47084077608734,0.00546580738463931,-0.02565094402776613,-0.0005070353313064713,-0.003708836531257864,-13.843358951243317,-2.823583858978314e-07,-1.710496587980645e-09,-1.2453430666266267e-08,-4.915637791826618e-09,2.5493344178685383e-11,-7.662819665523249e-09
BA1_96_1_A10,10,17073224.39,Good,,,NI,582.5,5.25,3.0,14.0,0.125,42.5,17073224.39,345347.415,0.612,1.339,0.901,0.265291,849.701,22.92,0.21,1.08,0.37,0.0043,1.8,1.3424529237385605e-06,1.2299961343154349e-08,6.325694405050809e-08,2.1671360461748138e-08,2.518563513122081e-10,1.0542824008418014e-07,,,0.14073270662089143,4.925274282027126,12.752306189329122,-0.14125904627972619,0.16730852730941148,-0.05086189517099915,0.05486027139887001,82.37987004630986,1.3143973055737102e-07,7.294221702025903e-10,-5.027579719118325e-09,4.941626791464508e-10,1.6541924411594295e-11,8.649919771550042e-09
BA1_96_1_A10,13,30277060.05,Good,,,ED,526.6666667,2.666666667,1.5,6.666666667,0.083333333,43.33333333,30277060.05,605073.786,0.447,1.34,0.8056000000000001,0.208805,1193.698,20.18,0.07,3.28,0.16,0.0045,2.02,6.665112123394557e-07,2.3119814104936523e-09,1.0833284323455968e-07,5.2845289382712045e-09,1.486273763888776e-10,6.671717784567396e-08,,,0.28629354659134965,2.421106548899376,13.313105689907001,-0.20009011669925564,0.05391233259301531,-0.10852542282253852,-0.027976027340388093,102.04927803061014,-2.00212169242233e-07,-2.0090708305032746e-09,-1.6925595329475238e-08,-3.5186878624238943e-09,-4.248088932392538e-11,-1.360041714067999e-08
BA1_96_1_A10,15,64032225.79,Good,,,ED,790.0,4.0,2.25,10.0,0.125,65.0,64032225.79,1072703.637,0.39004,1.401,0.7889200000000001,0.269488,1762.424,23.91,0.08,4.02,0.19,0.0045,2.11,3.7340572977136863e-07,1.2493709068050812e-09,6.278088806695532e-08,2.967255903662068e-09,7.02771135077858e-11,3.2952157666984014e-08,,,0.28629354659134965,2.421106548899376,13.8856927830897,-0.056827234623033684,-0.10601396182938339,-0.04556355980056348,-0.014565432203182127,153.881193849674,1.9121901922136224e-08,-9.130492503292893e-10,-2.2084509683436707e-08,-1.4344651763845647e-09,-1.961897203223539e-11,-7.7348134592958e-10
BA1_96_1_A10,17,115378819.3,Good,,,LD,757.5,2.75,2.0,9.0,0.125,65.0,115378819.3,1511003.041,0.35705,1.437,0.72975,0.246648,2022.837,23.07,0.0752,4.33,0.26,0.0051,2.13,1.9995004403724212e-07,6.517660733246904e-10,3.752855182840305e-08,2.2534465301119613e-09,4.4202220398350016e-11,1.84609273428403e-08,,,0.10170920793216938,6.8149894650857,14.228284253827306,-0.10100036376603239,-0.1442771790277131,-0.09917643151712174,-0.03873820504557976,92.22095788495426,-1.3929990043385328e-08,-2.127253715872803e-10,-2.713009088354634e-09,-6.915414555354785e-10,-3.659780035684067e-12,-1.2010005963947123e-09
BA1_96_1_A10,21,,Good,,,LD,,,,,,,,2224187.549,0.31995,1.415,0.76,0.3682,2630.439,,,,,,,,,,,,,,,0.10170920793216938,6.8149894650857,14.614902260383401,-0.12179939979510124,-0.33121936787066586,-0.06410113118083816,0.07982821686454289,189.5862201488403,,,,,,
BA1_96_1_A10,24,298437949.9,Good,,,LD,1010.0,3.666666667,2.666666667,12.0,0.166666667,86.66666667,298437949.9,3079410.404,0.3154,1.557,0.789,0.327347,2991.929,24.92,0.03,8.16,0.28,0.0096,2.32,8.350144480067012e-08,1.0052340866854347e-10,2.7342367157843824e-08,9.382184809064058e-10,3.2167490773933907e-11,7.773810270367361e-09,,,0.10170920793216938,6.8149894650857,14.940248709352492,-0.07665588760071051,-0.23661389794613985,-0.0342295472486166,0.024637244195571395,2.9198974941555207,7.134444281522029e-08,2.390218685095228e-10,-9.847045200857009e-10,2.637579668825343e-10,1.168647321721023e-11,6.238718017887721e-09
BA1_96_1_A11,3,11358985.11,Good,,,EB,108.0,1.2,5.0,2.6,0.025,54.0,11358985.11,221286.128,0.858,1.022,0.985,0.168303,545.736,18.58,0.22,2.67,0.37,0.0057,8.56,1.6357095127841046e-06,1.9367927492599735e-08,2.3505621093291495e-07,3.257333260119046e-08,5.018053941264476e-10,7.535884515302442e-07,,,0.07280918811369415,9.520050951228452,12.307211839935231,0.007420982695348188,-0.022545408225512542,0.002361091776351576,-0.009946617441136313,-13.144423245751227,1.4532072457869663e-07,4.5593782906777617e-10,2.3757814142476878e-08,2.395815417462088e-10,-7.285212502322027e-11,4.512141264844275e-08
BA1_96_1_A11,6,13165932.95,Good,,,EB,95.5,1.2,5.5,2.65,0.025,59.8,13165932.95,275306.253,0.797,1.035,0.97,0.182986,651.879,14.82,0.22,4.15,0.3,0.0069,11.53,1.1256323464718845e-06,1.6709791917936207e-08,3.1520743845197847e-07,2.2786079888094827e-08,5.24079837426181e-10,8.757450036991112e-07,,,0.07280918811369415,9.520050951228452,12.525639404276314,0.018107618646761248,-0.07107684250339563,0.009893051028627697,-0.02167319799023018,-18.797004848959546,4.170973957681464e-08,9.6556780450576e-10,4.312160331596708e-08,3.070092682290783e-09,-1.511247125996141e-11,9.74334850030376e-08
BA1_96_1_A11,8,14312592.03,Good,,,NI,637.5,5.5,11.0,14.5,0.125,55.0,14312592.03,252240.969,0.86,1.016,0.986,0.176058,578.483,16.73,0.17,1.19,0.22,0.007,2.09,1.1689007808601668e-06,1.1877652883815205e-08,8.314357018670643e-08,1.5371080202584382e-08,4.890798246276848e-10,1.460252619245516e-07,,,0.0846445932278641,8.188912653806321,12.438140135791011,-0.010379522387666484,-0.02048813060869792,-0.00501610791005902,0.0037620568030360124,-6.399419852780625,-1.6911568419679342e-07,-1.8923817418996665e-09,-3.764098634344011e-09,-6.24467632560593e-09,4.6527477305514665e-11,-4.736012999658557e-09
BA1_96_1_A11,10,15129478.36,Good,,,NI,582.5,5.25,3.0,14.0,0.125,42.5,15129478.36,298769.999,0.779,1.034,0.966,0.183277,681.441,21.1,0.21,1.15,0.34,0.0041,1.74,1.394628386910228e-06,1.3880187737021226e-08,7.601055189321147e-08,2.2472684907558177e-08,2.709941415323192e-10,1.1500726982103301e-07,,,0.0846445932278641,8.188912653806321,12.60742932224674,-0.03685161990854924,-0.07781933328294977,-0.009185632308209124,-0.01296041236074022,0.8142955821383566,-1.3059053860831476e-09,5.772852342171391e-10,5.056960504036224e-09,-1.4621102663387789e-09,-5.4874734327225095e-12,3.7347384599646215e-09
BA1_96_1_A11,13,28304723.9,Good,,,ED,526.6666667,2.666666667,1.5,6.666666667,0.083333333,43.33333333,28304723.9,617169.967,0.524,1.464,0.868,0.24262,1179.65,21.97,0.08,2.5,0.16,0.0044,2.07,7.761955240269982e-07,2.826383337376416e-09,8.8324479293013e-08,5.652766674752832e-09,1.5545108355570288e-10,7.313266885461476e-08,,,0.13938368499104392,4.972943430247833,13.332899738209433,-0.11320947624996525,0.17033947158275975,-0.04180066265186522,0.004547490526253639,71.16238972805513,-7.1569853187636e-08,-1.4479324603508017e-09,-3.658497087772842e-08,-3.0626443478294713e-09,-3.2018952279382784e-11,-5.476237280902941e-09
