Organoid,Day,Volume,Classification,Sub_Bad(z=-1.08),Sub_Bad(z=0),Phase,GlucoseGlo_TL,GlutamateGlo_TL,LactateGlo_TL,PyruvateGlo_TL,MalateGlo_TL,BCAAGlo_TL,Volume_win,Area_win,Circ._win,AR_win,Solidity_win,Complexity_win,Feret_win,GlucoseGlo_win,GlutamateGlo_win,LactateGlo_win,PyruvateGlo_win,MalateGlo_win,BCAAGlo_win,GlucoseGlo_win_vol_norm,GlutamateGlo_win_vol_norm,LactateGlo_win_vol_norm,PyruvateGlo_win_vol_norm,MalateGlo_win_vol_norm,BCAAGlo_win_vol_norm,GrowthRate_overall_ln,DoublingTime_overall_days,GrowthRate_phase_ln,DoublingTime_phase_days,Area_win_log,Circ._win_resid,AR_win_resid,Solidity_win_resid,Complexity_win_resid,Feret_win_resid,GlucoseGlo_win_vol_norm_resid,GlutamateGlo_win_vol_norm_resid,LactateGlo_win_vol_norm_resid,PyruvateGlo_win_vol_norm_resid,MalateGlo_win_vol_norm_resid,BCAAGlo_win_vol_norm_resid
BA1_96_1_A1,3,11778936.67,Good,,,EB,,,5.0,2.6,0.025,,11778936.67,227456.604,0.858,1.016,0.985,0.163577,551.876,,,104.0,-6.0,0.105,,,,8.829319904985956e-06,-5.093838406722667e-07,8.914217211764667e-09,,,,0.09982794849206418,6.943418061075822,12.33471474752938,0.011975007275716543,-0.03775444131814054,0.0035284447027518206,-0.01616656334437591,-18.127355373763976,,,2.5353774387965337e-06,1.1763373973973742e-07,1.911542615091696e-09,
BA1_96_1_A1,6,14446834.48,Good,,,EB,,,5.5,2.65,0.025,,14446834.48,306875.864,0.658,1.175,0.918,0.21226,748.3,,,191.5,-14.5,0.165,,,,1.3255498999805803e-05,-1.0036800809252437e-06,1.1421187127770013e-08,,,,0.09982794849206418,6.943418061075822,12.634198593005573,-0.09775236925639108,0.0632736428971723,-0.0346024731403306,-0.0022575163712852675,34.637195845673546,,,4.322015919712079e-06,-5.435263534555406e-08,4.682543074050401e-09,
BA1_96_1_A1,8,15647218.72,Good,,,NI,,,11.0,14.5,0.125,,15647218.72,258397.214,0.859,1.058,0.987,0.161307,599.833,,,245.0,-65.0,0.825,,,,1.5657734731274976e-05,-4.1540928878892795e-06,5.272502511551778e-08,,,,0.06794150563632062,10.202116866091323,12.462253269098714,-0.0034167083983195345,0.01331595384793105,-0.0014396908894280802,-0.014317799951574811,2.3580872815421117,,,1.4394219985674694e-06,4.982374523400639e-08,2.7681222404480347e-08,
BA1_96_1_A1,10,15266893.89,Good,,,NI,,,3.0,14.0,0.125,,15266893.89,296006.378,0.787,1.088,0.968,0.189969,691.004,,,290.0,-42.5,0.125,,,,1.8995350468110184e-05,-2.7838013617058026e-06,8.187651063840597e-09,,,,0.06794150563632062,10.202116866091323,12.598136280371355,-0.03256548310191876,-0.02026688413502198,-0.008569521224478516,-0.005426267171286553,15.52121629671285,,,3.1238545222462103e-06,8.856458805277244e-08,1.7893822391676972e-08,
BA1_96_1_A1,13,26679250.12,Good,,,ED,,,1.5,6.666666667,0.083333333,,26679250.12,574861.793,0.427,1.025,0.8056000000000001,0.3983361999999996,1095.564,,,728.3333333,-28.33333333,0.05,,,,2.7299617868719917e-05,-1.061998864381875e-06,1.8741156432473222e-09,,,,0.17449834382375595,3.9722278468157084,13.261884930888392,-0.24476847097400395,-0.24217333206165437,-0.11932714809459433,0.16478083943598054,45.97288079999521,,,6.807187481130031e-06,-2.1352620919204296e-07,-2.0889298755813948e-09,
BA1_96_1_A1,15,50873510.39,Good,,,ED,,,2.25,10.0,0.125,,50873510.39,814949.656,0.567,1.17,0.894,0.282383,1292.388,,,1040.0,-50.0,0.05,,,,2.044285900515386e-05,-9.828297598631664e-07,9.828297598631665e-10,,,,0.17449834382375595,3.9722278468157084,13.610881618535904,-0.016262762218919757,-0.2039493735117437,0.0038426400608089217,0.03193631306712075,-17.838160273293397,,,-2.311790746202738e-06,-4.935288629532475e-07,-4.961260926807645e-09,
BA1_96_1_A1,17,78188064.18,Good,,,LD,,,2.0,9.0,0.125,,78188064.18,1105925.45,0.586,1.139,0.866,0.236132,1441.24,,,1052.5,-27.5,0.175,,,,1.3461133883261208e-05,-3.5171608721110043e-07,2.2381932822524573e-09,,,,0.12836668905187412,5.3997433888774555,13.916193053729303,0.018356568911597315,-0.340126864528115,-0.010445745336817747,-0.01367132328316889,-126.02941961281567,,,1.6694083962561834e-06,-2.914888089688731e-07,4.743988913842939e-10,
BA1_96_1_A1,21,,Good,,,LD,,,,,,,,1671015.574,0.455,1.182,0.77,0.234792,1972.202,,,,,,,,,,,,,,,0.12836668905187412,5.3997433888774555,14.328942127701662,-0.05954204888916165,-0.45750234250394106,-0.08422942035471626,-0.029366353314833116,-40.04371937605197,,,,,,
BA1_96_1_A1,24,229616240.4,Good,,,LD,,,2.666666667,12.0,0.166666667,,229616240.4,2716242.032,0.387,1.409,0.835,0.302545,2680.999,,,2946.666667,0.0,1.433333333,,,,1.2833006332073016e-05,0.0,6.242299458013423e-09,,,,0.12836668905187412,5.3997433888774555,14.814759877092422,-0.04229754927700424,-0.3266107936316829,-0.0029266045789415607,0.014347676550488686,-38.9106219408709,,,2.746524752323365e-06,4.200331058675245e-08,1.8088941709136075e-09,
BA1_96_1_A10,3,12032708.65,Good,,,EB,108.0,1.2,5.0,2.6,0.025,54.0,12032708.65,231159.458,0.857,1.068,0.986,0.165842,565.013,-175.5,-2.0,85.5,-9.5,0.035,-137.0,-1.4585244694676456e-05,-1.6621361475414764e-07,7.105632030739812e-06,-7.895146700822012e-07,2.908738258197584e-09,-1.1385632610659114e-05,,,0.08256220103973415,8.395454237301148,12.350863045732652,0.013707841522785258,0.008719290526344459,0.005228963990556057,-0.014798068502745287,-11.665139251367577,3.6737327823895553e-06,-8.588979166913527e-08,7.656495326069326e-07,-1.7225822664026734e-07,-4.0989132292075825e-09,-8.681915937498655e-07
BA1_96_1_A10,6,14232837.17,Good,,,EB,95.5,1.2,5.5,2.65,0.025,59.8,14232837.17,296128.763,0.714,1.062,0.945,0.233523,699.112,-231.5,-1.0,157.5,-16.0,0.085,-44.5,-1.626520399516381e-05,-7.026006045427133e-08,1.1065959521547733e-05,-1.1241609672683412e-06,5.972105138613063e-09,-3.126572690215074e-06,,,0.08256220103973415,8.395454237301148,12.598549648851854,-0.04962981973071101,-0.04780311820067351,-0.010157188170182185,0.022361506714693086,0.08299902435408057,1.4947300273954306e-06,4.2747440288935723e-08,1.963865311453414e-06,-1.4871897182027438e-07,-1.1891311536458014e-09,3.1388480250913563e-06
BA1_96_1_A10,8,15355457.0,Good,,,NI,637.5,5.5,11.0,14.5,0.125,55.0,15355457.0,260625.757,0.865,1.022,0.987,0.173121,588.19,-2450.0,-10.0,170.0,-82.5,0.475,-10.0,-0.00015955239886380457,-6.512342810767533e-07,1.1070982778304808e-05,-5.372682818883215e-06,3.0933628351145785e-08,-6.512342810767533e-07,,,0.14073270662089143,4.925274282027126,12.47084077608734,0.00546580738463931,-0.02565094402776613,-0.0005070353313064713,-0.003708836531257864,-13.843358951243317,-6.992710407744849e-05,-4.219085263150796e-07,-3.103648036006898e-06,-1.2161103894916412e-06,6.483672755576651e-09,-1.8585487095800025e-06
BA1_96_1_A10,10,17073224.39,Good,,,NI,582.5,5.25,3.0,14.0,0.125,42.5,17073224.39,345347.415,0.612,1.339,0.901,0.265291,849.701,-95.0,0.0,240.0,-47.5,-0.175,25.0,-5.564268226665062e-06,0.0,1.4057098677890685e-05,-2.782134113332531e-06,-1.0249967785961956e-08,1.4642811122802796e-06,,,0.14073270662089143,4.925274282027126,12.752306189329122,-0.14125904627972619,0.16730852730941148,-0.05086189517099915,0.05486027139887001,82.37987004630986,1.8740474969770153e-05,5.509862793218205e-08,-1.3293428846579907e-06,-2.145497863126045e-07,1.1168163162984015e-09,1.1323049197856458e-06
BA1_96_1_A10,13,30277060.05,Good,,,ED,526.6666667,2.666666667,1.5,6.666666667,0.083333333,43.33333333,30277060.05,605073.786,0.447,1.34,0.8056000000000001,0.208805,1193.698,-1903.333333,-15.0,531.6666667,-40.0,-0.083333333,-96.66666667,-6.286387548384176e-05,-4.954245879629254e-07,1.756004928556463e-05,-1.321132234567801e-06,-2.752358811006817e-09,-3.192736233648947e-06,,,0.28629354659134965,2.421106548899376,13.313105689907001,-0.20009011669925564,0.05391233259301531,-0.10852542282253852,-0.027976027340388093,102.04927803061014,-3.138375612896143e-05,-3.247948157023348e-07,-2.8151514853303046e-06,-5.607543395574523e-07,-6.758977740370959e-09,-2.1034184463081072e-06
BA1_96_1_A10,15,64032225.79,Good,,,ED,790.0,4.0,2.25,10.0,0.125,65.0,64032225.79,1072703.637,0.39004,1.401,0.7889200000000001,0.269488,1762.424,-1922.5,-20.0,982.5,-52.5,-0.125,-122.5,-3.0023944604159605e-05,-3.1234272670127027e-07,1.5343836449199904e-05,-8.198996575908345e-07,-1.952142041882939e-09,-1.9130992010452806e-06,,,0.28629354659134965,2.421106548899376,13.8856927830897,-0.056827234623033684,-0.10601396182938339,-0.04556355980056348,-0.014565432203182127,153.881193849674,-1.5979719829857563e-05,-3.3337722554633067e-07,-5.580229662873423e-06,-6.212929252705642e-07,-8.188200897739133e-09,-1.9014876721475304e-06
BA1_96_1_A10,17,115378819.3,Good,,,LD,757.5,2.75,2.0,9.0,0.125,65.0,115378819.3,1511003.041,0.35705,1.437,0.72975,0.246648,2022.837,-1807.5,-8.7,1062.5,-25.0,0.025,-117.5,-1.566578693529758e-05,-7.540378773836178e-08,9.20879591632292e-06,-2.16677550972304e-07,2.1667755097230399e-10,-1.0183844895698287e-06,,,0.10170920793216938,6.8149894650857,14.228284253827306,-0.10100036376603239,-0.1442771790277131,-0.09917643151712174,-0.03873820504557976,92.22095788495426,-8.480193502734144e-06,-7.121686350342768e-08,-6.915202647607456e-07,-2.325913309082658e-07,-1.7441945509265138e-09,-7.290953497227147e-07
BA1_96_1_A10,21,,Good,,,LD,,,,,,,,2224187.549,0.31995,1.415,0.76,0.3682,2630.439,,,,,,,,,,,,,,,0.10170920793216938,6.8149894650857,14.614902260383401,-0.12179939979510124,-0.33121936787066586,-0.06410113118083816,0.07982821686454289,189.5862201488403,,,,,,
