organoid_id,day,missing_metabolites,count_missing
BA1_96_1_A1,Dy3,"GlucoseGlo, GlutamateGlo, BCAAGlo",3
BA1_96_1_H1,Dy3,PyruvateGlo,1
BA1_96_1_H10,Dy3,PyruvateGlo,1
BA1_96_1_H11,Dy3,PyruvateGlo,1
BA1_96_1_H12,Dy3,PyruvateGlo,1
BA1_96_1_H2,Dy3,PyruvateGlo,1
BA1_96_1_H3,Dy3,PyruvateGlo,1
BA1_96_1_H4,Dy3,PyruvateGlo,1
BA1_96_1_H5,Dy3,PyruvateGlo,1
BA1_96_1_H6,Dy3,PyruvateGlo,1
BA1_96_1_H7,Dy3,PyruvateGlo,1
BA1_96_1_H8,Dy3,PyruvateGlo,1
BA1_96_1_H9,Dy3,PyruvateGlo,1
BA1_96_1_A1,Dy6,"GlucoseGlo, GlutamateGlo, BCAAGlo",3
BA1_96_1_A1,Dy8,"GlucoseGlo, GlutamateGlo, BCAAGlo",3
BA1_96_1_C12,Dy8,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_C2,Dy8,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_E6,Dy8,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_F7,Dy8,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A1,Dy10,"GlucoseGlo, GlutamateGlo, BCAAGlo",3
BA1_96_1_A1,Dy13,"GlucoseGlo, GlutamateGlo, BCAAGlo",3
BA1_96_1_A1,Dy15,"GlucoseGlo, GlutamateGlo, BCAAGlo",3
BA1_96_1_A1,Dy17,"GlucoseGlo, GlutamateGlo, BCAAGlo",3
BA1_96_1_C11,Dy17,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_D7,Dy17,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A1,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A10,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A11,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A12,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A2,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A3,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A4,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A5,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A6,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A7,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A8,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_A9,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_B1,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_B10,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_B11,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_B12,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_B2,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_B3,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_B4,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_B5,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_B6,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_B7,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_B8,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_B9,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_C1,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_C10,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_C11,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_C12,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_C2,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
BA1_96_1_C3,Dy20.5,"GlucoseGlo, GlutamateGlo, LactateGlo, PyruvateGlo, MalateGlo, BCAAGlo",6
