organoid_id,split,label
BA1 96_1 A1,train,Acceptable
BA1 96_1 A10,test,Acceptable
BA1 96_1 A11,train,Acceptable
BA1 96_1 A12,train,Acceptable
BA1 96_1 A2,val,Acceptable
BA1 96_1 A3,train,Acceptable
BA1 96_1 A4,train,Acceptable
BA1 96_1 A5,train,Acceptable
BA1 96_1 A6,train,Acceptable
BA1 96_1 A7,train,Acceptable
BA1 96_1 A8,train,Not Acceptable
BA1 96_1 A9,train,Acceptable
BA1 96_1 B10,train,Acceptable
BA1 96_1 B11,val,Acceptable
BA1 96_1 B12,train,Not Acceptable
BA1 96_1 B2,train,Acceptable
BA1 96_1 B3,test,Acceptable
BA1 96_1 B4,train,Acceptable
BA1 96_1 B5,train,Acceptable
BA1 96_1 B6,train,Acceptable
BA1 96_1 B7,train,Acceptable
BA1 96_1 B8,train,Acceptable
BA1 96_1 B9,test,Acceptable
BA1 96_1 C10,test,Acceptable
BA1 96_1 C11,train,Acceptable
BA1 96_1 C12,val,Acceptable
BA1 96_1 C2,train,Acceptable
BA1 96_1 C3,train,Acceptable
BA1 96_1 C4,train,Acceptable
BA1 96_1 C5,val,Acceptable
BA1 96_1 C6,val,Acceptable
BA1 96_1 C7,test,Not Acceptable
BA1 96_1 C8,train,Acceptable
BA1 96_1 D1,val,Not Acceptable
BA1 96_1 D10,train,Acceptable
BA1 96_1 D11,train,Acceptable
BA1 96_1 D12,train,Acceptable
BA1 96_1 D2,train,Acceptable
BA1 96_1 D3,val,Acceptable
BA1 96_1 D6,train,Acceptable
BA1 96_1 D7,train,Acceptable
BA1 96_1 D8,test,Acceptable
BA1 96_1 D9,train,Acceptable
BA1 96_1 E1,train,Acceptable
BA1 96_1 E10,train,Acceptable
BA1 96_1 E12,train,Acceptable
BA1 96_1 E2,train,Acceptable
BA1 96_1 E3,train,Acceptable
BA1 96_1 E4,train,Acceptable
BA1 96_1 E7,val,Acceptable
BA1 96_1 F1,train,Acceptable
BA1 96_1 F11,train,Acceptable
BA1 96_1 F12,test,Acceptable
BA1 96_1 F2,train,Acceptable
BA1 96_1 F3,test,Acceptable
BA1 96_1 F4,train,Acceptable
BA1 96_1 F5,test,Acceptable
BA1 96_1 F6,train,Acceptable
BA1 96_1 F8,test,Acceptable
BA1 96_1 G1,train,Not Acceptable
BA1 96_1 G10,train,Acceptable
BA1 96_1 G11,train,Acceptable
BA1 96_1 G12,test,Acceptable
BA1 96_1 G3,test,Acceptable
BA1 96_1 G5,train,Acceptable
BA1 96_1 G6,train,Acceptable
BA1 96_1 G7,train,Acceptable
BA1 96_1 G8,train,Acceptable
BA1 96_1 G9,test,Acceptable
BA1 96_1 H10,train,Acceptable
BA1 96_1 H12,train,Acceptable
BA1 96_1 H2,train,Acceptable
BA1 96_1 H3,train,Acceptable
BA1 96_1 H4,train,Acceptable
BA1 96_1 H5,train,Acceptable
BA1 96_1 H6,train,Acceptable
BA1 96_1 H7,test,Acceptable
BA1 96_1 H9,train,Acceptable
BA2 96_1 A10,train,Acceptable
BA2 96_1 A11,test,Acceptable
BA2 96_1 A12,test,Not Acceptable
BA2 96_1 A2,train,Acceptable
BA2 96_1 A3,train,Acceptable
BA2 96_1 A4,train,Acceptable
BA2 96_1 A5,train,Not Acceptable
BA2 96_1 A6,train,Acceptable
BA2 96_1 A7,train,Acceptable
BA2 96_1 A8,train,Acceptable
BA2 96_1 B10,train,Acceptable
BA2 96_1 B11,train,Acceptable
BA2 96_1 B3,test,Not Acceptable
BA2 96_1 B4,train,Acceptable
BA2 96_1 B5,train,Acceptable
BA2 96_1 B6,val,Acceptable
BA2 96_1 B7,train,Acceptable
BA2 96_1 B8,test,Not Acceptable
BA2 96_1 B9,test,Acceptable
BA2 96_1 C1 split_1,train,Not Acceptable
BA2 96_1 C1 split_2,train,Not Acceptable
BA2 96_1 C10,test,Acceptable
BA2 96_1 C11,train,Acceptable
BA2 96_1 C3,train,Acceptable
BA2 96_1 C4,train,Acceptable
BA2 96_1 C7,test,Acceptable
BA2 96_1 C8,train,Acceptable
BA2 96_1 C9,train,Acceptable
BA2 96_1 D1,val,Acceptable
BA2 96_1 D10 split_1,val,Not Acceptable
BA2 96_1 D10 split_2,train,Not Acceptable
BA2 96_1 D11,train,Acceptable
BA2 96_1 D3,train,Acceptable
BA2 96_1 D4,train,Acceptable
BA2 96_1 D6,test,Acceptable
BA2 96_1 D8,train,Not Acceptable
BA2 96_1 D9,train,Acceptable
BA2 96_1 E1 split_1,train,Acceptable
BA2 96_1 E1 split_2,test,Acceptable
BA2 96_1 E10,train,Acceptable
BA2 96_1 E11,test,Acceptable
BA2 96_1 E12,train,Not Acceptable
BA2 96_1 E2,test,Acceptable
BA2 96_1 E3,train,Not Acceptable
BA2 96_1 E5,val,Acceptable
BA2 96_1 E6,train,Acceptable
BA2 96_1 E7 split_1,test,Acceptable
BA2 96_1 E7 split_2,train,Acceptable
BA2 96_1 E8 split_1,test,Not Acceptable
BA2 96_1 E8 split_2,train,Not Acceptable
BA2 96_1 E9,test,Not Acceptable
BA2 96_1 F10,test,Acceptable
BA2 96_1 F11,test,Acceptable
BA2 96_1 F12,train,Acceptable
BA2 96_1 F4,train,Acceptable
BA2 96_1 F5,train,Acceptable
BA2 96_1 F7,val,Not Acceptable
BA2 96_1 F9,train,Acceptable
BA2 96_1 G1,train,Acceptable
BA2 96_1 G11,train,Acceptable
BA2 96_1 G12,train,Acceptable
BA2 96_1 G2,train,Acceptable
BA2 96_1 G4,train,Not Acceptable
BA2 96_1 G5,train,Not Acceptable
BA2 96_1 G6,test,Acceptable
BA2 96_1 G7,train,Acceptable
BA2 96_1 G8,train,Acceptable
BA2 96_1 G9,train,Acceptable
BA2 96_1 H1,train,Acceptable
BA2 96_1 H10,test,Acceptable
BA2 96_1 H11,val,Acceptable
BA2 96_1 H4,train,Acceptable
BA2 96_1 H5,train,Acceptable
BA2 96_1 H6,val,Acceptable
BA2 96_1 H7,train,Acceptable
BA2 96_2 A11,train,Acceptable
BA2 96_2 A3,train,Acceptable
BA2 96_2 A6,train,Not Acceptable
BA2 96_2 A9,test,Acceptable
BA2 96_2 B1,test,Acceptable
BA2 96_2 B10,train,Acceptable
BA2 96_2 B11,train,Acceptable
BA2 96_2 B12,val,Acceptable
BA2 96_2 B3 split_1,train,Not Acceptable
BA2 96_2 B3 split_2,test,Not Acceptable
BA2 96_2 B5 split_1,train,Acceptable
BA2 96_2 B5 split_2,test,Acceptable
BA2 96_2 B6,test,Acceptable
BA2 96_2 B7,train,Acceptable
BA2 96_2 B8 split_1,train,Not Acceptable
BA2 96_2 B8 split_2,test,Not Acceptable
BA2 96_2 B9,train,Acceptable
BA2 96_2 C1,train,Acceptable
BA2 96_2 C11,train,Acceptable
BA2 96_2 C2,train,Not Acceptable
BA2 96_2 C3,train,Not Acceptable
BA2 96_2 C5,train,Acceptable
BA2 96_2 C6,train,Not Acceptable
BA2 96_2 C9,train,Acceptable
BA2 96_2 D10,train,Acceptable
BA2 96_2 D11,train,Acceptable
BA2 96_2 D12 split_1,train,Acceptable
BA2 96_2 D12 split_2,train,Acceptable
BA2 96_2 D2,train,Not Acceptable
BA2 96_2 D3,train,Not Acceptable
BA2 96_2 D5 split_1,train,Not Acceptable
BA2 96_2 D5 split_2,train,Not Acceptable
BA2 96_2 D6,train,Acceptable
BA2 96_2 D7 split_1,test,Acceptable
BA2 96_2 D7 split_2,train,Acceptable
BA2 96_2 D9,train,Acceptable
BA2 96_2 E1,train,Acceptable
BA2 96_2 E10,test,Acceptable
BA2 96_2 E11,train,Acceptable
BA2 96_2 E12,val,Not Acceptable
