setup,fold,model,day,threshold,accuracy,precision,recall,f1,TNR,TPR,sensitivity,specificity,balanced_acc,TN,FP,FN,TP,optimal_threshold
overlay,0,per_day,30.0,0.5,0.8181818181818182,0.9090909090909091,0.8571428571428571,0.8823529411764706,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.7619047619047619,6,3,5,30,0.58
overlay,0,per_day,30.0,0.6,0.3181818181818182,1.0,0.14285714285714285,0.25,1.0,0.14285714285714285,0.14285714285714285,1.0,0.5714285714285714,9,0,30,5,0.58
overlay,0,per_day,30.0,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.58
overlay,0,per_day,30.0,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.58
overlay,0,per_day,30.0,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.58
overlay,0,per_day,30.0,0.58,0.4090909090909091,1.0,0.2571428571428571,0.4090909090909091,1.0,0.2571428571428571,0.2571428571428571,1.0,0.6285714285714286,9,0,26,9,0.58
overlay,0,per_day,8.0,0.5,0.7272727272727273,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.3333333333333333,0.8285714285714286,0.8285714285714286,0.3333333333333333,0.580952380952381,3,6,6,29,0.53
overlay,0,per_day,8.0,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,8.0,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,8.0,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,8.0,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,8.0,0.53,0.2727272727272727,0.8,0.11428571428571428,0.2,0.8888888888888888,0.11428571428571428,0.11428571428571428,0.8888888888888888,0.5015873015873016,8,1,31,4,0.53
overlay,0,per_day,10.0,0.5,0.4772727272727273,0.875,0.4,0.5490196078431373,0.7777777777777778,0.4,0.4,0.7777777777777778,0.5888888888888889,7,2,21,14,0.55
overlay,0,per_day,10.0,0.6,0.4318181818181818,1.0,0.2857142857142857,0.4444444444444444,1.0,0.2857142857142857,0.2857142857142857,1.0,0.6428571428571428,9,0,25,10,0.55
overlay,0,per_day,10.0,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.55
overlay,0,per_day,10.0,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.55
overlay,0,per_day,10.0,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.55
overlay,0,per_day,10.0,0.55,0.45454545454545453,0.9230769230769231,0.34285714285714286,0.5,0.8888888888888888,0.34285714285714286,0.34285714285714286,0.8888888888888888,0.6158730158730159,8,1,23,12,0.55
overlay,0,per_day,13.0,0.5,0.7954545454545454,0.8421052631578947,0.9142857142857143,0.8767123287671232,0.3333333333333333,0.9142857142857143,0.9142857142857143,0.3333333333333333,0.6238095238095238,3,6,3,32,0.54
overlay,0,per_day,13.0,0.6,0.22727272727272727,1.0,0.02857142857142857,0.05555555555555555,1.0,0.02857142857142857,0.02857142857142857,1.0,0.5142857142857142,9,0,34,1,0.54
overlay,0,per_day,13.0,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.54
overlay,0,per_day,13.0,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.54
overlay,0,per_day,13.0,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.54
overlay,0,per_day,13.0,0.54,0.6818181818181818,0.8888888888888888,0.6857142857142857,0.7741935483870968,0.6666666666666666,0.6857142857142857,0.6857142857142857,0.6666666666666666,0.6761904761904762,6,3,11,24,0.54
overlay,0,per_day,28.0,0.5,0.8409090909090909,0.868421052631579,0.9428571428571428,0.9041095890410958,0.4444444444444444,0.9428571428571428,0.9428571428571428,0.4444444444444444,0.6936507936507936,4,5,2,33,0.56
overlay,0,per_day,28.0,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,28.0,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,28.0,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,28.0,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,28.0,0.56,0.4318181818181818,0.9166666666666666,0.3142857142857143,0.46808510638297873,0.8888888888888888,0.3142857142857143,0.3142857142857143,0.8888888888888888,0.6015873015873016,8,1,24,11,0.56
overlay,0,per_day,17.0,0.5,0.7954545454545454,0.7954545454545454,1.0,0.8860759493670886,0.0,1.0,1.0,0.0,0.5,0,9,0,35,0.53
overlay,0,per_day,17.0,0.6,0.22727272727272727,1.0,0.02857142857142857,0.05555555555555555,1.0,0.02857142857142857,0.02857142857142857,1.0,0.5142857142857142,9,0,34,1,0.53
overlay,0,per_day,17.0,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,17.0,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,17.0,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,17.0,0.53,0.7045454545454546,0.8235294117647058,0.8,0.8115942028985508,0.3333333333333333,0.8,0.8,0.3333333333333333,0.5666666666666667,3,6,7,28,0.53
