setup,fold,model,day,threshold,accuracy,precision,recall,f1,TNR,TPR,sensitivity,specificity,balanced_acc,TN,FP,FN,TP,optimal_threshold
overlay,0,per_day,24,0.5,0.8409090909090909,0.85,0.9714285714285714,0.9066666666666666,0.3333333333333333,0.9714285714285714,0.9714285714285714,0.3333333333333333,0.6523809523809524,3,6,1,34,0.53
overlay,0,per_day,24,0.6,0.2727272727272727,1.0,0.08571428571428572,0.15789473684210525,1.0,0.08571428571428572,0.08571428571428572,1.0,0.5428571428571428,9,0,32,3,0.53
overlay,0,per_day,24,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,24,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,24,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,24,0.53,0.7727272727272727,0.8787878787878788,0.8285714285714286,0.8529411764705882,0.5555555555555556,0.8285714285714286,0.8285714285714286,0.5555555555555556,0.692063492063492,5,4,6,29,0.53
overlay,0,per_day,6,0.5,0.7954545454545454,0.8421052631578947,0.9142857142857143,0.8767123287671232,0.3333333333333333,0.9142857142857143,0.9142857142857143,0.3333333333333333,0.6238095238095238,3,6,3,32,0.56
overlay,0,per_day,6,0.6,0.3409090909090909,1.0,0.17142857142857143,0.2926829268292683,1.0,0.17142857142857143,0.17142857142857143,1.0,0.5857142857142857,9,0,29,6,0.56
overlay,0,per_day,6,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,6,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,6,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,6,0.56,0.5909090909090909,0.9473684210526315,0.5142857142857142,0.6666666666666666,0.8888888888888888,0.5142857142857142,0.5142857142857142,0.8888888888888888,0.7015873015873015,8,1,17,18,0.56
overlay,0,per_day,30,0.5,0.8636363636363636,0.9393939393939394,0.8857142857142857,0.9117647058823529,0.7777777777777778,0.8857142857142857,0.8857142857142857,0.7777777777777778,0.8317460317460317,7,2,4,31,0.56
overlay,0,per_day,30,0.6,0.25,1.0,0.05714285714285714,0.10810810810810811,1.0,0.05714285714285714,0.05714285714285714,1.0,0.5285714285714286,9,0,33,2,0.56
overlay,0,per_day,30,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,30,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,30,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,30,0.56,0.5227272727272727,0.9375,0.42857142857142855,0.5882352941176471,0.8888888888888888,0.42857142857142855,0.42857142857142855,0.8888888888888888,0.6587301587301587,8,1,20,15,0.56
overlay,0,per_day,20.5,0.5,0.8181818181818182,0.8857142857142857,0.8857142857142857,0.8857142857142857,0.5555555555555556,0.8857142857142857,0.8857142857142857,0.5555555555555556,0.7206349206349206,5,4,4,31,0.5700000000000001
overlay,0,per_day,20.5,0.6,0.5454545454545454,0.8947368421052632,0.4857142857142857,0.6296296296296297,0.7777777777777778,0.4857142857142857,0.4857142857142857,0.7777777777777778,0.6317460317460317,7,2,18,17,0.5700000000000001
overlay,0,per_day,20.5,0.7,0.3409090909090909,1.0,0.17142857142857143,0.2926829268292683,1.0,0.17142857142857143,0.17142857142857143,1.0,0.5857142857142857,9,0,29,6,0.5700000000000001
overlay,0,per_day,20.5,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,0,per_day,20.5,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,0,per_day,20.5,0.5700000000000001,0.6590909090909091,0.9166666666666666,0.6285714285714286,0.7457627118644068,0.7777777777777778,0.6285714285714286,0.6285714285714286,0.7777777777777778,0.7031746031746031,7,2,13,22,0.5700000000000001
overlay,0,per_day,15,0.5,0.7954545454545454,0.7954545454545454,1.0,0.8860759493670886,0.0,1.0,1.0,0.0,0.5,0,9,0,35,0.5700000000000001
overlay,0,per_day,15,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,0,per_day,15,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,0,per_day,15,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,0,per_day,15,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
