setup,fold,model,day,threshold,accuracy,precision,recall,f1,TNR,TPR,sensitivity,specificity,balanced_acc,TN,FP,FN,TP,optimal_threshold
overlay,0,per_day,15,0.5,0.7272727272727273,0.896551724137931,0.7428571428571429,0.8125,0.6666666666666666,0.7428571428571429,0.7428571428571429,0.6666666666666666,0.7047619047619047,6,3,9,26,0.56
overlay,0,per_day,15,0.6,0.4318181818181818,0.8125,0.37142857142857144,0.5098039215686274,0.6666666666666666,0.37142857142857144,0.37142857142857144,0.6666666666666666,0.519047619047619,6,3,22,13,0.56
overlay,0,per_day,15,0.7,0.2727272727272727,0.8,0.11428571428571428,0.2,0.8888888888888888,0.11428571428571428,0.11428571428571428,0.8888888888888888,0.5015873015873016,8,1,31,4,0.56
overlay,0,per_day,15,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,15,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,0,per_day,15,0.56,0.5909090909090909,0.8695652173913043,0.5714285714285714,0.6896551724137931,0.6666666666666666,0.5714285714285714,0.5714285714285714,0.6666666666666666,0.6190476190476191,6,3,15,20,0.56
overlay,0,per_day,30,0.5,0.8181818181818182,0.9090909090909091,0.8571428571428571,0.8823529411764706,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.7619047619047619,6,3,5,30,0.58
overlay,0,per_day,30,0.6,0.3181818181818182,1.0,0.14285714285714285,0.25,1.0,0.14285714285714285,0.14285714285714285,1.0,0.5714285714285714,9,0,30,5,0.58
overlay,0,per_day,30,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.58
overlay,0,per_day,30,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.58
overlay,0,per_day,30,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.58
overlay,0,per_day,30,0.58,0.4090909090909091,1.0,0.2571428571428571,0.4090909090909091,1.0,0.2571428571428571,0.2571428571428571,1.0,0.6285714285714286,9,0,26,9,0.58
overlay,0,per_day,24,0.5,0.8181818181818182,0.8292682926829268,0.9714285714285714,0.8947368421052632,0.2222222222222222,0.9714285714285714,0.9714285714285714,0.2222222222222222,0.5968253968253968,2,7,1,34,0.58
overlay,0,per_day,24,0.6,0.36363636363636365,1.0,0.2,0.3333333333333333,1.0,0.2,0.2,1.0,0.6,9,0,28,7,0.58
overlay,0,per_day,24,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.58
overlay,0,per_day,24,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.58
overlay,0,per_day,24,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.58
overlay,0,per_day,24,0.58,0.5227272727272727,0.8888888888888888,0.45714285714285713,0.6037735849056604,0.7777777777777778,0.45714285714285713,0.45714285714285713,0.7777777777777778,0.6174603174603175,7,2,19,16,0.58
overlay,0,per_day,26,0.5,0.8181818181818182,0.8292682926829268,0.9714285714285714,0.8947368421052632,0.2222222222222222,0.9714285714285714,0.9714285714285714,0.2222222222222222,0.5968253968253968,2,7,1,34,0.58
overlay,0,per_day,26,0.6,0.36363636363636365,1.0,0.2,0.3333333333333333,1.0,0.2,0.2,1.0,0.6,9,0,28,7,0.58
overlay,0,per_day,26,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.58
overlay,0,per_day,26,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.58
overlay,0,per_day,26,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.58
overlay,0,per_day,26,0.58,0.5227272727272727,0.8888888888888888,0.45714285714285713,0.6037735849056604,0.7777777777777778,0.45714285714285713,0.45714285714285713,0.7777777777777778,0.6174603174603175,7,2,19,16,0.58
overlay,0,per_day,13,0.5,0.7954545454545454,0.8421052631578947,0.9142857142857143,0.8767123287671232,0.3333333333333333,0.9142857142857143,0.9142857142857143,0.3333333333333333,0.6238095238095238,3,6,3,32,0.54
overlay,0,per_day,13,0.6,0.22727272727272727,1.0,0.02857142857142857,0.05555555555555555,1.0,0.02857142857142857,0.02857142857142857,1.0,0.5142857142857142,9,0,34,1,0.54
overlay,0,per_day,13,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.54
overlay,0,per_day,13,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.54
overlay,0,per_day,13,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.54
overlay,0,per_day,13,0.54,0.7045454545454546,0.9230769230769231,0.6857142857142857,0.7868852459016393,0.7777777777777778,0.6857142857142857,0.6857142857142857,0.7777777777777778,0.7317460317460318,7,2,11,24,0.54
overlay,0,per_day,6,0.5,0.7272727272727273,0.8484848484848485,0.8,0.8235294117647058,0.4444444444444444,0.8,0.8,0.4444444444444444,0.6222222222222222,4,5,7,28,0.51
overlay,0,per_day,6,0.6,0.4318181818181818,1.0,0.2857142857142857,0.4444444444444444,1.0,0.2857142857142857,0.2857142857142857,1.0,0.6428571428571428,9,0,25,10,0.51
overlay,0,per_day,6,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.51
overlay,0,per_day,6,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.51
overlay,0,per_day,6,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.51
overlay,0,per_day,6,0.51,0.7272727272727273,0.8709677419354839,0.7714285714285715,0.8181818181818182,0.5555555555555556,0.7714285714285715,0.7714285714285715,0.5555555555555556,0.6634920634920636,5,4,8,27,0.51
overlay,0,per_day,8,0.5,0.7272727272727273,0.8285714285714286,0.8285714285714286,0.8285714285714286,0.3333333333333333,0.8285714285714286,0.8285714285714286,0.3333333333333333,0.580952380952381,3,6,6,29,0.53
overlay,0,per_day,8,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,8,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,8,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,8,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,8,0.53,0.2727272727272727,0.8,0.11428571428571428,0.2,0.8888888888888888,0.11428571428571428,0.11428571428571428,0.8888888888888888,0.5015873015873016,8,1,31,4,0.53
overlay,0,per_day,17,0.5,0.7954545454545454,0.7954545454545454,1.0,0.8860759493670886,0.0,1.0,1.0,0.0,0.5,0,9,0,35,0.53
overlay,0,per_day,17,0.6,0.22727272727272727,1.0,0.02857142857142857,0.05555555555555555,1.0,0.02857142857142857,0.02857142857142857,1.0,0.5142857142857142,9,0,34,1,0.53
overlay,0,per_day,17,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,17,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
