setup,fold,model,day,threshold,accuracy,precision,recall,f1,TNR,TPR,sensitivity,specificity,balanced_acc,TN,FP,FN,TP
overlay,0,per_day,13,0.5,0.7727272727272727,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.4444444444444444,0.8571428571428571,0.8571428571428571,0.4444444444444444,0.6507936507936507,4,5,5,30
overlay,0,per_day,13,0.5,0.7727272727272727,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.4444444444444444,0.8571428571428571,0.8571428571428571,0.4444444444444444,0.6507936507936507,4,5,5,30
overlay,0,per_day,26,0.5,0.8409090909090909,0.85,0.9714285714285714,0.9066666666666666,0.3333333333333333,0.9714285714285714,0.9714285714285714,0.3333333333333333,0.6523809523809524,3,6,1,34
overlay,0,per_day,28,0.5,0.7954545454545454,0.8823529411764706,0.8571428571428571,0.8695652173913043,0.5555555555555556,0.8571428571428571,0.8571428571428571,0.5555555555555556,0.7063492063492063,5,4,5,30
overlay,0,per_day,10,0.5,0.4772727272727273,0.9285714285714286,0.37142857142857144,0.5306122448979592,0.8888888888888888,0.37142857142857144,0.37142857142857144,0.8888888888888888,0.6301587301587301,8,1,22,13
overlay,0,per_day,10,0.5,0.4772727272727273,0.9285714285714286,0.37142857142857144,0.5306122448979592,0.8888888888888888,0.37142857142857144,0.37142857142857144,0.8888888888888888,0.6301587301587301,8,1,22,13
overlay,0,per_day,17,0.5,0.6590909090909091,0.8571428571428571,0.6857142857142857,0.7619047619047619,0.5555555555555556,0.6857142857142857,0.6857142857142857,0.5555555555555556,0.6206349206349207,5,4,11,24
overlay,0,per_day,8,0.5,0.6590909090909091,0.7941176470588235,0.7714285714285715,0.782608695652174,0.2222222222222222,0.7714285714285715,0.7714285714285715,0.2222222222222222,0.49682539682539684,2,7,8,27
overlay,0,per_day,15,0.5,0.7954545454545454,0.7954545454545454,1.0,0.8860759493670886,0.0,1.0,1.0,0.0,0.5,0,9,0,35
overlay,0,per_day,20.5,0.5,0.8409090909090909,0.9117647058823529,0.8857142857142857,0.8985507246376812,0.6666666666666666,0.8857142857142857,0.8857142857142857,0.6666666666666666,0.7761904761904761,6,3,4,31
overlay,0,per_day,24,0.5,0.8409090909090909,0.85,0.9714285714285714,0.9066666666666666,0.3333333333333333,0.9714285714285714,0.9714285714285714,0.3333333333333333,0.6523809523809524,3,6,1,34
overlay,0,per_day,30,0.5,0.8636363636363636,0.9393939393939394,0.8857142857142857,0.9117647058823529,0.7777777777777778,0.8857142857142857,0.8857142857142857,0.7777777777777778,0.8317460317460317,7,2,4,31
overlay,0,per_day,6,0.5,0.7954545454545454,0.8421052631578947,0.9142857142857143,0.8767123287671232,0.3333333333333333,0.9142857142857143,0.9142857142857143,0.3333333333333333,0.6238095238095238,3,6,3,32
overlay,0,effnet_ts,20.5,0.5,0.8461538461538461,0.8461538461538461,1.0,0.9166666666666666,0.0,1.0,1.0,0.0,0.5,0,6,0,33
overlay,0,effnet_ts,15,0.5,0.8378378378378378,0.8378378378378378,1.0,0.9117647058823529,0.0,1.0,1.0,0.0,0.5,0,6,0,31
overlay,0,effnet_ts,30,0.5,0.75,0.8333333333333334,0.8571428571428571,0.8450704225352113,0.3333333333333333,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.5952380952380952,3,6,5,30
overlay,0,effnet_ts,30,0.5,0.75,0.8333333333333334,0.8571428571428571,0.8450704225352113,0.3333333333333333,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.5952380952380952,3,6,5,30
overlay,0,effnet_ts,24,0.5,0.7727272727272727,0.8378378378378378,0.8857142857142857,0.8611111111111112,0.3333333333333333,0.8857142857142857,0.8857142857142857,0.3333333333333333,0.6095238095238095,3,6,4,31
overlay,0,effnet_ts,26,0.5,0.7727272727272727,0.8378378378378378,0.8857142857142857,0.8611111111111112,0.3333333333333333,0.8857142857142857,0.8857142857142857,0.3333333333333333,0.6095238095238095,3,6,4,31
overlay,0,effnet_ts,6,0.5,0.8378378378378378,0.8378378378378378,1.0,0.9117647058823529,0.0,1.0,1.0,0.0,0.5,0,6,0,31
overlay,0,effnet_ts,13,0.5,0.8378378378378378,0.8378378378378378,1.0,0.9117647058823529,0.0,1.0,1.0,0.0,0.5,0,6,0,31
overlay,0,effnet_ts,17,0.5,0.6756756756756757,0.8064516129032258,0.8064516129032258,0.8064516129032258,0.0,0.8064516129032258,0.8064516129032258,0.0,0.4032258064516129,0,6,6,25
overlay,0,effnet_ts,8,0.5,0.7567567567567568,0.8235294117647058,0.9032258064516129,0.8615384615384616,0.0,0.9032258064516129,0.9032258064516129,0.0,0.45161290322580644,0,6,3,28
overlay,0,effnet_ts,10,0.5,0.8378378378378378,0.8378378378378378,1.0,0.9117647058823529,0.0,1.0,1.0,0.0,0.5,0,6,0,31
overlay,0,effnet_ts,28,0.5,0.75,0.8333333333333334,0.8571428571428571,0.8450704225352113,0.3333333333333333,0.8571428571428571,0.8571428571428571,0.3333333333333333,0.5952380952380952,3,6,5,30
