setup,split,fold,model,day,threshold,accuracy,precision,recall,f1,TNR,TPR,sensitivity,specificity,balanced_acc,TN,FP,FN,TP,optimal_threshold
overlay,train,0,per_day,24,0.5,0.8164556962025317,0.8211920529801324,0.9841269841269841,0.8953068592057761,0.15625,0.9841269841269841,0.9841269841269841,0.15625,0.5701884920634921,5,27,2,124,0.53
overlay,train,0,per_day,24,0.6,0.22151898734177214,1.0,0.023809523809523808,0.046511627906976744,1.0,0.023809523809523808,0.023809523809523808,1.0,0.5119047619047619,32,0,123,3,0.53
overlay,train,0,per_day,24,0.7,0.20253164556962025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,32,0,126,0,0.53
overlay,train,0,per_day,24,0.8,0.20253164556962025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,32,0,126,0,0.53
overlay,train,0,per_day,24,0.9,0.20253164556962025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,32,0,126,0,0.53
overlay,train,0,per_day,24,0.53,0.7784810126582279,0.8888888888888888,0.8253968253968254,0.8559670781893004,0.59375,0.8253968253968254,0.8253968253968254,0.59375,0.7095734126984127,19,13,22,104,0.53
overlay,val,0,per_day,24,0.5,0.8333333333333334,0.8235294117647058,1.0,0.9032258064516129,0.25,1.0,1.0,0.25,0.625,1,3,0,14,0.53
overlay,val,0,per_day,24,0.6,0.2777777777777778,1.0,0.07142857142857142,0.13333333333333333,1.0,0.07142857142857142,0.07142857142857142,1.0,0.5357142857142857,4,0,13,1,0.53
overlay,val,0,per_day,24,0.7,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,4,0,14,0,0.53
overlay,val,0,per_day,24,0.8,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,4,0,14,0,0.53
overlay,val,0,per_day,24,0.9,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,4,0,14,0,0.53
overlay,val,0,per_day,24,0.53,0.7777777777777778,0.8571428571428571,0.8571428571428571,0.8571428571428571,0.5,0.8571428571428571,0.8571428571428571,0.5,0.6785714285714286,2,2,2,12,0.53
overlay,test,0,per_day,24,0.5,0.8409090909090909,0.85,0.9714285714285714,0.9066666666666666,0.3333333333333333,0.9714285714285714,0.9714285714285714,0.3333333333333333,0.6523809523809524,3,6,1,34,0.53
overlay,test,0,per_day,24,0.6,0.2727272727272727,1.0,0.08571428571428572,0.15789473684210525,1.0,0.08571428571428572,0.08571428571428572,1.0,0.5428571428571428,9,0,32,3,0.53
overlay,test,0,per_day,24,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,test,0,per_day,24,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,test,0,per_day,24,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,test,0,per_day,24,0.53,0.7727272727272727,0.8787878787878788,0.8285714285714286,0.8529411764705882,0.5555555555555556,0.8285714285714286,0.8285714285714286,0.5555555555555556,0.692063492063492,5,4,6,29,0.53
overlay,train,0,per_day,30,0.5,0.8860759493670886,0.9029850746268657,0.9603174603174603,0.9307692307692308,0.59375,0.9603174603174603,0.9603174603174603,0.59375,0.7770337301587302,19,13,5,121,0.56
overlay,train,0,per_day,30,0.6,0.2088607594936709,1.0,0.007936507936507936,0.015748031496062992,1.0,0.007936507936507936,0.007936507936507936,1.0,0.503968253968254,32,0,125,1,0.56
overlay,train,0,per_day,30,0.7,0.20253164556962025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,32,0,126,0,0.56
overlay,train,0,per_day,30,0.8,0.20253164556962025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,32,0,126,0,0.56
overlay,train,0,per_day,30,0.9,0.20253164556962025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,32,0,126,0,0.56
overlay,train,0,per_day,30,0.56,0.5316455696202531,1.0,0.4126984126984127,0.5842696629213483,1.0,0.4126984126984127,0.4126984126984127,1.0,0.7063492063492063,32,0,74,52,0.56
overlay,val,0,per_day,30,0.5,0.8888888888888888,0.875,1.0,0.9333333333333333,0.5,1.0,1.0,0.5,0.75,2,2,0,14,0.56
overlay,val,0,per_day,30,0.6,0.2777777777777778,1.0,0.07142857142857142,0.13333333333333333,1.0,0.07142857142857142,0.07142857142857142,1.0,0.5357142857142857,4,0,13,1,0.56
overlay,val,0,per_day,30,0.7,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,4,0,14,0,0.56
overlay,val,0,per_day,30,0.8,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,4,0,14,0,0.56
overlay,val,0,per_day,30,0.9,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,4,0,14,0,0.56
overlay,val,0,per_day,30,0.56,0.5555555555555556,1.0,0.42857142857142855,0.6,1.0,0.42857142857142855,0.42857142857142855,1.0,0.7142857142857143,4,0,8,6,0.56
overlay,test,0,per_day,30,0.5,0.8636363636363636,0.9393939393939394,0.8857142857142857,0.9117647058823529,0.7777777777777778,0.8857142857142857,0.8857142857142857,0.7777777777777778,0.8317460317460317,7,2,4,31,0.56
overlay,test,0,per_day,30,0.6,0.25,1.0,0.05714285714285714,0.10810810810810811,1.0,0.05714285714285714,0.05714285714285714,1.0,0.5285714285714286,9,0,33,2,0.56
overlay,test,0,per_day,30,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,test,0,per_day,30,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,test,0,per_day,30,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.56
overlay,test,0,per_day,30,0.56,0.5227272727272727,0.9375,0.42857142857142855,0.5882352941176471,0.8888888888888888,0.42857142857142855,0.42857142857142855,0.8888888888888888,0.6587301587301587,8,1,20,15,0.56
overlay,train,0,per_day,15,0.5,0.8037974683544303,0.802547770700637,1.0,0.8904593639575972,0.03125,1.0,1.0,0.03125,0.515625,1,31,0,126,0.5700000000000001
overlay,train,0,per_day,15,0.6,0.2088607594936709,1.0,0.007936507936507936,0.015748031496062992,1.0,0.007936507936507936,0.007936507936507936,1.0,0.503968253968254,32,0,125,1,0.5700000000000001
overlay,train,0,per_day,15,0.7,0.20253164556962025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,32,0,126,0,0.5700000000000001
overlay,train,0,per_day,15,0.8,0.20253164556962025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,32,0,126,0,0.5700000000000001
overlay,train,0,per_day,15,0.9,0.20253164556962025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,32,0,126,0,0.5700000000000001
overlay,train,0,per_day,15,0.5700000000000001,0.35443037974683544,0.9,0.21428571428571427,0.34615384615384615,0.90625,0.21428571428571427,0.21428571428571427,0.90625,0.5602678571428571,29,3,99,27,0.5700000000000001
overlay,val,0,per_day,15,0.5,0.7777777777777778,0.7777777777777778,1.0,0.875,0.0,1.0,1.0,0.0,0.5,0,4,0,14,0.5700000000000001
overlay,val,0,per_day,15,0.6,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,4,0,14,0,0.5700000000000001
overlay,val,0,per_day,15,0.7,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,4,0,14,0,0.5700000000000001
overlay,val,0,per_day,15,0.8,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,4,0,14,0,0.5700000000000001
overlay,val,0,per_day,15,0.9,0.2222222222222222,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,4,0,14,0,0.5700000000000001
overlay,val,0,per_day,15,0.5700000000000001,0.4444444444444444,1.0,0.2857142857142857,0.4444444444444444,1.0,0.2857142857142857,0.2857142857142857,1.0,0.6428571428571428,4,0,10,4,0.5700000000000001
overlay,test,0,per_day,15,0.5,0.7954545454545454,0.7954545454545454,1.0,0.8860759493670886,0.0,1.0,1.0,0.0,0.5,0,9,0,35,0.5700000000000001
overlay,test,0,per_day,15,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,test,0,per_day,15,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,test,0,per_day,15,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,test,0,per_day,15,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,test,0,per_day,15,0.5700000000000001,0.3181818181818182,0.8571428571428571,0.17142857142857143,0.2857142857142857,0.8888888888888888,0.17142857142857143,0.17142857142857143,0.8888888888888888,0.5301587301587302,8,1,29,6,0.5700000000000001
overlay,train,0,per_day,6,0.5,0.8291139240506329,0.8461538461538461,0.9603174603174603,0.8996282527881041,0.3125,0.9603174603174603,0.9603174603174603,0.3125,0.6364087301587302,10,22,5,121,0.56
overlay,train,0,per_day,6,0.6,0.3670886075949367,0.9333333333333333,0.2222222222222222,0.358974358974359,0.9375,0.2222222222222222,0.2222222222222222,0.9375,0.5798611111111112,30,2,98,28,0.56
overlay,train,0,per_day,6,0.7,0.20253164556962025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,32,0,126,0,0.56
overlay,train,0,per_day,6,0.8,0.20253164556962025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,32,0,126,0,0.56
overlay,train,0,per_day,6,0.9,0.20253164556962025,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,32,0,126,0,0.56
overlay,train,0,per_day,6,0.56,0.5949367088607594,0.9078947368421053,0.5476190476190477,0.6831683168316832,0.78125,0.5476190476190477,0.5476190476190477,0.78125,0.6644345238095238,25,7,57,69,0.56
overlay,val,0,per_day,6,0.5,0.8333333333333334,0.8235294117647058,1.0,0.9032258064516129,0.25,1.0,1.0,0.25,0.625,1,3,0,14,0.56
overlay,val,0,per_day,6,0.6,0.4444444444444444,0.8333333333333334,0.35714285714285715,0.5,0.75,0.35714285714285715,0.35714285714285715,0.75,0.5535714285714286,3,1,9,5,0.56
overlay,val,0,per_day,6,0.7,0.2777777777777778,1.0,0.07142857142857142,0.13333333333333333,1.0,0.07142857142857142,0.07142857142857142,1.0,0.5357142857142857,4,0,13,1,0.56
