Day,Day_No,N_Metab_Features,N_Image_Features,N_Total_Features,PCA_Explained_Var,Test_Accuracy,Test_F1_Acceptable,Test_F1_NotAcceptable,Test_Recall_Acceptable,Test_Recall_NotAcceptable,Test_Precision_Acceptable,Test_Precision_NotAcceptable,Test_Specificity,Test_PR_AUC,TP,FP,TN,FN,CV_Score
Dy03,3,12,12,24,0.6088084,0.8421052631578947,0.90625,0.5,0.90625,0.5,0.90625,0.5,0.5,0.8990849001628177,29,3,3,3,0.3581196581196581
Dy06,6,12,12,24,0.61604595,0.7368421052631579,0.8484848484848485,0.0,0.875,0.0,0.8235294117647058,0.0,0.0,0.880927283239556,28,6,0,4,0.26565656565656565
Dy08,8,12,12,24,0.58568114,0.7894736842105263,0.8787878787878788,0.2,0.90625,0.16666666666666666,0.8529411764705882,0.25,0.16666666666666666,0.9116110577804366,29,5,1,3,0.3595238095238095
Dy10,10,12,12,24,0.55469227,0.7105263157894737,0.8253968253968254,0.15384615384615385,0.8125,0.16666666666666666,0.8387096774193549,0.14285714285714285,0.16666666666666666,0.8592141891171748,26,5,1,6,0.14423076923076925
Dy13,13,12,12,24,0.49834192,0.8421052631578947,0.9117647058823529,0.25,0.96875,0.16666666666666666,0.8611111111111112,0.5,0.16666666666666666,0.9579606275427253,31,5,1,1,0.3790849673202614
Dy15,15,12,12,24,0.4729025,0.7631578947368421,0.8615384615384616,0.18181818181818182,0.875,0.16666666666666666,0.8484848484848485,0.2,0.16666666666666666,0.9506035188156037,28,5,1,4,0.34052287581699353
Dy17,17,12,12,24,0.50255185,0.7631578947368421,0.8615384615384616,0.18181818181818182,0.875,0.16666666666666666,0.8484848484848485,0.2,0.16666666666666666,0.8927504111286331,28,5,1,4,0.516941391941392
Dy20_5,20,12,12,24,0.5183946,0.7586206896551724,0.8444444444444444,0.46153846153846156,0.8260869565217391,0.5,0.8636363636363636,0.42857142857142855,0.5,0.9345898274045165,19,3,3,4,0.43650793650793646
Dy24,24,12,12,24,0.5146068,0.9047619047619048,0.9411764705882353,0.75,0.9411764705882353,0.75,0.9411764705882353,0.75,0.75,0.9940361193497007,32,2,6,2,0.6432748538011696
Dy28,28,12,12,24,0.45856965,0.9318181818181818,0.958904109589041,0.8,1.0,0.6666666666666666,0.9210526315789473,1.0,0.6666666666666666,0.9887128732180166,35,3,6,0,0.6219806763285024
Dy30,30,12,12,24,0.47920248,0.9545454545454546,0.9722222222222222,0.875,1.0,0.7777777777777778,0.9459459459459459,1.0,0.7777777777777778,0.9942693027251852,35,2,7,0,0.6983333333333333
