setup,fold,model,day,threshold,accuracy,precision,recall,f1,TNR,TPR,sensitivity,specificity,balanced_acc,TN,FP,FN,TP,optimal_threshold
overlay,0,per_day,8,0.5,0.7954545454545454,0.7954545454545454,1.0,0.8860759493670886,0.0,1.0,1.0,0.0,0.5,0,9,0,35,0.55
overlay,0,per_day,8,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.55
overlay,0,per_day,8,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.55
overlay,0,per_day,8,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.55
overlay,0,per_day,8,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.55
overlay,0,per_day,8,0.55,0.22727272727272727,0.6666666666666666,0.05714285714285714,0.10526315789473684,0.8888888888888888,0.05714285714285714,0.05714285714285714,0.8888888888888888,0.473015873015873,8,1,33,2,0.55
overlay,0,per_day,24,0.5,0.8181818181818182,0.9090909090909091,0.8571428571428571,0.8823529411764706,0.6666666666666666,0.8571428571428571,0.8571428571428571,0.6666666666666666,0.7619047619047619,6,3,5,30,0.53
overlay,0,per_day,24,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,24,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,24,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,24,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.53
overlay,0,per_day,24,0.53,0.5681818181818182,1.0,0.45714285714285713,0.6274509803921569,1.0,0.45714285714285713,0.45714285714285713,1.0,0.7285714285714285,9,0,19,16,0.53
overlay,0,per_day,20.5,0.5,0.7045454545454546,0.8055555555555556,0.8285714285714286,0.8169014084507042,0.2222222222222222,0.8285714285714286,0.8285714285714286,0.2222222222222222,0.5253968253968254,2,7,6,29,0.5700000000000001
overlay,0,per_day,20.5,0.6,0.25,1.0,0.05714285714285714,0.10810810810810811,1.0,0.05714285714285714,0.05714285714285714,1.0,0.5285714285714286,9,0,33,2,0.5700000000000001
overlay,0,per_day,20.5,0.7,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,0,per_day,20.5,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,0,per_day,20.5,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.5700000000000001
overlay,0,per_day,20.5,0.5700000000000001,0.45454545454545453,1.0,0.3142857142857143,0.4782608695652174,1.0,0.3142857142857143,0.3142857142857143,1.0,0.6571428571428571,9,0,24,11,0.5700000000000001
overlay,0,per_day,30,0.5,0.75,0.9,0.7714285714285715,0.8307692307692308,0.6666666666666666,0.7714285714285715,0.7714285714285715,0.6666666666666666,0.719047619047619,6,3,8,27,0.48
overlay,0,per_day,30,0.6,0.5681818181818182,0.9,0.5142857142857142,0.6545454545454545,0.7777777777777778,0.5142857142857142,0.5142857142857142,0.7777777777777778,0.646031746031746,7,2,17,18,0.48
overlay,0,per_day,30,0.7,0.22727272727272727,1.0,0.02857142857142857,0.05555555555555555,1.0,0.02857142857142857,0.02857142857142857,1.0,0.5142857142857142,9,0,34,1,0.48
overlay,0,per_day,30,0.8,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.48
overlay,0,per_day,30,0.9,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.48
