setup,fold,model,day,threshold,accuracy,precision,recall,f1,TNR,TPR,sensitivity,specificity,balanced_acc,TN,FP,FN,TP,optimal_threshold
overlay,0,effnet_tchange,8,0.5,0.8378378378378378,0.8378378378378378,1.0,0.9117647058823529,0.0,1.0,1.0,0.0,0.5,0,6,0,31,0.67
overlay,0,effnet_tchange,8,0.6,0.8378378378378378,0.8378378378378378,1.0,0.9117647058823529,0.0,1.0,1.0,0.0,0.5,0,6,0,31,0.67
overlay,0,effnet_tchange,8,0.7,0.40540540540540543,1.0,0.2903225806451613,0.45,1.0,0.2903225806451613,0.2903225806451613,1.0,0.6451612903225806,6,0,22,9,0.67
overlay,0,effnet_tchange,8,0.8,0.16216216216216217,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,6,0,31,0,0.67
overlay,0,effnet_tchange,8,0.9,0.16216216216216217,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,6,0,31,0,0.67
overlay,0,effnet_tchange,8,0.67,0.4864864864864865,0.9285714285714286,0.41935483870967744,0.5777777777777777,0.8333333333333334,0.41935483870967744,0.41935483870967744,0.8333333333333334,0.6263440860215054,5,1,18,13,0.67
overlay,0,effnet_tchange,20.5,0.5,0.717948717948718,0.84375,0.8181818181818182,0.8307692307692308,0.16666666666666666,0.8181818181818182,0.8181818181818182,0.16666666666666666,0.49242424242424243,1,5,6,27,0.52
overlay,0,effnet_tchange,20.5,0.6,0.15384615384615385,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,6,0,33,0,0.52
overlay,0,effnet_tchange,20.5,0.7,0.15384615384615385,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,6,0,33,0,0.52
overlay,0,effnet_tchange,20.5,0.8,0.15384615384615385,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,6,0,33,0,0.52
overlay,0,effnet_tchange,20.5,0.9,0.15384615384615385,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,6,0,33,0,0.52
overlay,0,effnet_tchange,20.5,0.52,0.6666666666666666,0.9545454545454546,0.6363636363636364,0.7636363636363637,0.8333333333333334,0.6363636363636364,0.6363636363636364,0.8333333333333334,0.7348484848484849,5,1,12,21,0.52
overlay,0,effnet_tchange,15,0.5,0.8378378378378378,0.8378378378378378,1.0,0.9117647058823529,0.0,1.0,1.0,0.0,0.5,0,6,0,31,0.85
overlay,0,effnet_tchange,15,0.6,0.8378378378378378,0.8378378378378378,1.0,0.9117647058823529,0.0,1.0,1.0,0.0,0.5,0,6,0,31,0.85
overlay,0,effnet_tchange,15,0.7,0.8378378378378378,0.8378378378378378,1.0,0.9117647058823529,0.0,1.0,1.0,0.0,0.5,0,6,0,31,0.85
overlay,0,effnet_tchange,15,0.8,0.8378378378378378,0.8378378378378378,1.0,0.9117647058823529,0.0,1.0,1.0,0.0,0.5,0,6,0,31,0.85
overlay,0,effnet_tchange,15,0.9,0.16216216216216217,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,6,0,31,0,0.85
overlay,0,effnet_tchange,15,0.85,0.2702702702702703,1.0,0.12903225806451613,0.22857142857142856,1.0,0.12903225806451613,0.12903225806451613,1.0,0.564516129032258,6,0,27,4,0.85
overlay,0,effnet_tchange,6,0.5,0.8378378378378378,0.8378378378378378,1.0,0.9117647058823529,0.0,1.0,1.0,0.0,0.5,0,6,0,31,0.6
overlay,0,effnet_tchange,6,0.6,0.35135135135135137,1.0,0.22580645161290322,0.3684210526315789,1.0,0.22580645161290322,0.22580645161290322,1.0,0.6129032258064516,6,0,24,7,0.6
overlay,0,effnet_tchange,6,0.7,0.16216216216216217,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,6,0,31,0,0.6
overlay,0,effnet_tchange,6,0.8,0.16216216216216217,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,6,0,31,0,0.6
overlay,0,effnet_tchange,6,0.9,0.16216216216216217,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,6,0,31,0,0.6
overlay,0,effnet_tchange,6,0.6,0.35135135135135137,1.0,0.22580645161290322,0.3684210526315789,1.0,0.22580645161290322,0.22580645161290322,1.0,0.6129032258064516,6,0,24,7,0.6
overlay,0,effnet_tchange,30,0.5,0.7727272727272727,0.8378378378378378,0.8857142857142857,0.8611111111111112,0.3333333333333333,0.8857142857142857,0.8857142857142857,0.3333333333333333,0.6095238095238095,3,6,4,31,0.55
overlay,0,effnet_tchange,30,0.6,0.20454545454545456,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5,9,0,35,0,0.55
