Token	File	Line	Snippet
BASE_PATH	run.sh	33	echo "BASE_PATH: $BASE_PATH"
BASE_PATH	paths.py	27	BASE_PATH         = require_env_path("BASE_PATH")
BASE_PATH	config.py	37	BASE_PATH      = _get_path("BASE_PATH", "data")
BASE_PATH	.env	2	BASE_PATH=/net/projects2/promega/data-analysis
BASE_PATH	.env	6	PLOTS_FOLDER=${BASE_PATH}/plots
BASE_PATH	.env	7	LOGS_FOLDER=${BASE_PATH}/logs
BASE_PATH	.env	8	NPY_OUTPUTS=${BASE_PATH}/npy_outputs
BASE_PATH	.env	9	PREDICTIONS_DIR=${BASE_PATH}/predictions
BASE_PATH	.env	13	SURVEY_RESULTS=${BASE_PATH}/results_surveys
BASE_PATH	.env	31	MANUAL_MASKS_DIR=${BASE_PATH}/manual_masks
BASE_PATH	analysis/images/segmentation_mmseg/paths.py	21	BASE_PATH            = require_env_path("BASE_PATH")
BASE_PATH	analysis/images/segmentation_mmseg/paths.py	35	MANUAL_MASKS_DIR         = BASE_PATH / "manual_masks"
BASE_PATH	file_utils/merge/merge_all_data.py	17	metabolite_json_path = os.path.join(os.getenv("BASE_PATH"), "metabolite_data", "metabolite_map.json")
BASE_PATH	file_utils/merge/merge_all_data.py	17	metabolite_json_path = os.path.join(os.getenv("BASE_PATH"), "metabolite_data", "metabolite_map.json")
BASE_PATH	file_utils/images/paths.py	8	BASE_PATH = Path(os.getenv("BASE_PATH"))
BASE_PATH	file_utils/images/paths.py	8	BASE_PATH = Path(os.getenv("BASE_PATH"))
BASE_PATH	file_utils/images/scripts/mapping_system.py	24	logging.info(f"BASE_PATH     = {paths.BASE_PATH}")
BASE_PATH	file_utils/images/scripts/mapping_system.py	28	self.base_path     = paths.BASE_PATH
CHECKPOINT_FILE_PATH	config.py	64	CHECKPOINT_FILE_PATH = _get_path("CHECKPOINT_FILE_PATH", f"{PLOTS_FOLDER}/segformer_masks/iter_1000.pth")
CHECKPOINT_FILE_PATH	.env	39	CHECKPOINT_FILE_PATH=${PLOTS_FOLDER}/segformer_masks/iter_1000.pth
CHECKPOINT_FILE_PATH	analysis/images/segmentation_mmseg/predict_masks.py	92	CHECKPOINT_FILE_PATH = model_info["checkpoint"]
CHECKPOINT_FILE_PATH	analysis/images/segmentation_mmseg/predict_masks.py	97	model = init_model(str(CONFIG_FILE_PATH), str(CHECKPOINT_FILE_PATH), device=device)
CONFIG_FILE_PATH	config.py	63	CONFIG_FILE_PATH   = _get_path("CONFIG_FILE_PATH", f"{PLOTS_FOLDER}/segformer_masks/config.py")
CONFIG_FILE_PATH	.env	38	CONFIG_FILE_PATH=${PLOTS_FOLDER}/segformer_masks/20250422_215204/vis_data/config.py
CONFIG_FILE_PATH	analysis/images/segmentation_mmseg/predict_masks.py	91	CONFIG_FILE_PATH = model_info["config"]
CONFIG_FILE_PATH	analysis/images/segmentation_mmseg/predict_masks.py	97	model = init_model(str(CONFIG_FILE_PATH), str(CHECKPOINT_FILE_PATH), device=device)
EARLY_MODEL	analysis/images/segmentation_mmseg/paths.py	55	EARLY_MODEL = {
EARLY_MODEL	analysis/images/segmentation_mmseg/predict_masks.py	10	from paths import EARLY_MODEL, LATE_MODEL
EARLY_MODEL	analysis/images/segmentation_mmseg/predict_masks.py	87	model_info = EARLY_MODEL
LATE_MODEL	analysis/images/segmentation_mmseg/paths.py	60	LATE_MODEL = {
LATE_MODEL	analysis/images/segmentation_mmseg/predict_masks.py	10	from paths import EARLY_MODEL, LATE_MODEL
LATE_MODEL	analysis/images/segmentation_mmseg/predict_masks.py	89	model_info = LATE_MODEL
LOGS_FOLDER	paths.py	30	LOGS_FOLDER       = require_env_path("LOGS_FOLDER")
LOGS_FOLDER	config.py	40	LOGS_FOLDER    = _get_path("LOGS_FOLDER", "logs")
LOGS_FOLDER	.env	7	LOGS_FOLDER=${BASE_PATH}/logs
MANUAL_MAPPING_DIR	paths.py	50	MANUAL_MAPPING_DIR       = require_env_path("MANUAL_MAPPING_DIR")
MANUAL_MAPPING_DIR	config.py	58	MANUAL_MAPPING_DIR    = _get_path("MANUAL_MAPPING_DIR", f"{PREPROCESSED_DIR}/manual_mappings")
MANUAL_MAPPING_DIR	config.py	59	MANUAL_PROCESSED_DIR  = _get_path("MANUAL_PROCESSED_DIR", f"{MANUAL_MAPPING_DIR}/processed_{TARGET_SUFFIX}")
